id,height,country,distance,dock,rank,function,usage,dose,count,max,weight,cat1,class,age,target
1923,49588.25,CO-13,34375,DO-8,RA-1A,FU-1E,6345,5660,2498,5926,NA,CA-2C,CL-D,6401,TA-1
1924,60802.32,CO-1,48796,DO-3,RA-1F,FU-22,4840,9996,30233,6108,70515.6129,CA-21,CL-21,2114,TA-3
1925,53766.94,CO-3,57808,DO-E,RA-D,FU-E,6287,408,28558,9934,62424.2816,CA-15,CL-20,7690,TA-3
1926,54694.97,CO-12,39729,DO-1,RA-23,FU-2,2086,398,3535,8724,83522.6426,CA-8,CL-26,6701,TA-3
1927,45131.7,CO-10,33959,DO-9,RA-1,FU-26,5418,2239,12860,8874,NA,CA-17,CL-13,520,TA-0
1928,57861.32,CO-14,37331,DO-8,RA-1D,FU-5,5059,720,35754,11335,62004.8537,CA-E,CL-14,7110,TA-4
1929,45151.31,CO-0,47306,DO-B,RA-12,FU-1F,5851,9727,7581,9258,63857.7073,CA-20,CL-17,7001,TA-2
1930,41658.36,CO-1,53906,DO-6,RA-13,FU-3,4721,7709,12741,7378,32659.0108,CA-25,CL-26,10749,TA-4
1931,58802.68,CO-B,39067,DO-5,RA-3,FU-19,6885,523,22155,7116,51476.9309,CA-1,CL-12,13571,TA-0
1932,61479.33,CO-B,39142,DO-10,RA-0,FU-6,5874,9276,15232,6310,NA,CA-22,CL-8,4500,TA-4
1933,54468.41,CO-7,34935,DO-0,RA-18,FU-1F,4427,5042,27580,11045,10604.1507,CA-1D,CL-0,6114,TA-1
1934,43494.74,CO-3,29920,DO-B,RA-F,FU-7,6687,10537,13118,4644,83207.2557,CA-15,CL-21,14468,TA-4
1935,43238.3,CO-D,19094,DO-A,RA-1B,FU-29,3665,10454,7812,10536,72170.7194,CA-8,CL-5,5599,TA-2
1936,41465.81,CO-D,20745,DO-1,RA-6,FU-5,5519,2947,11211,10275,NA,CA-12,CL-1C,2010,TA-1
1937,50526.38,CO-0,44144,DO-E,RA-8,FU-20,4977,5791,33873,8476,64065.9553,CA-C,CL-E,3344,TA-1
1938,50002.48,CO-6,34197,DO-B,RA-22,FU-1F,6986,8585,31762,11831,51348.1886,CA-C,CL-6,6272,TA-3
1939,33647.9,CO-1,39454,DO-3,RA-1D,FU-20,6609,7359,8234,8870,69078.8534,CA-13,CL-20,5142,TA-2
1940,53113.43,CO-9,36485,DO-A,RA-0,FU-2,4444,6464,34432,3890,51144.1593,CA-F,CL-9,8686,TA-1
1941,34230.91,CO-8,37043,DO-F,RA-17,FU-17,3623,6740,9028,5848,27836.1285,CA-8,CL-14,6247,TA-0
1942,47921.61,CO-0,28824,DO-11,RA-25,FU-C,5242,818,9070,6754,27960.4861,CA-25,CL-9,10806,TA-1
1943,29066.37,CO-4,28786,DO-6,RA-19,FU-18,3760,1697,16651,6501,51667.485,CA-1,CL-22,8897,TA-0
1944,61190.93,CO-0,49350,DO-9,RA-13,FU-6,7224,2361,22132,7445,47933.5891,CA-12,CL-A,11734,TA-2
1945,66340.47,CO-D,38937,DO-E,RA-16,FU-18,6586,2296,21937,5459,12425.777,CA-26,CL-26,10024,TA-0
1946,77715.47,CO-E,30956,DO-1,RA-10,FU-28,5930,1356,14046,3742,73908.7978,CA-27,CL-9,13153,TA-4
1947,54667.14,CO-6,43110,DO-6,RA-17,FU-3,5450,7762,3570,4922,39879.8547,CA-8,CL-1F,9012,TA-0
1948,73472.77,CO-E,22722,DO-1,RA-2,FU-15,2764,8234,16188,8045,8888.6617,CA-12,CL-1D,9247,TA-0
1949,68305.03,CO-10,45350,DO-7,RA-3,FU-24,6087,6361,8100,8448,52923.072,CA-20,CL-2,8897,TA-3
1950,44733.6,CO-B,43286,DO-0,RA-1F,FU-17,5974,3293,36620,12688,66516.5452,CA-26,CL-7,5669,TA-4
1951,59063.72,CO-F,35850,DO-0,RA-14,FU-D,6263,9234,10421,10233,NA,CA-27,CL-1D,9437,TA-0
1952,65771.9,CO-3,48620,DO-B,RA-4,FU-22,8245,2800,22938,12196,52670.1128,CA-10,CL-E,14493,TA-2
1953,60482.85,CO-0,35052,DO-7,RA-D,FU-6,5487,4816,16588,7022,55726.1201,CA-F,CL-1E,6248,TA-1
1954,33642.6,CO-2,32195,DO-B,RA-2,FU-1C,3492,7889,1780,8887,33095.8757,CA-2A,CL-21,5990,TA-1
1955,57846.06,CO-10,28071,DO-5,RA-9,FU-18,6413,2091,16576,6619,42769.2543,CA-27,CL-24,4586,TA-2
1956,57913.03,CO-F,28450,DO-E,RA-F,FU-2,5974,7167,5834,10119,14387.4305,CA-11,CL-0,8177,TA-0
1957,39488.52,CO-12,44219,DO-A,RA-15,FU-1E,5382,818,18443,8406,74657.8175,CA-15,CL-1D,5549,TA-3
1958,47754.09,CO-5,46750,DO-F,RA-C,FU-9,5177,10578,35280,4679,16135.6729,CA-1C,CL-22,3477,TA-3
1959,48222.14,CO-F,33507,DO-7,RA-18,FU-25,6627,6192,22463,7986,43553.6529,CA-13,CL-19,9157,TA-2
1960,74332.44,CO-7,28365,DO-10,RA-1F,FU-C,7103,5535,28199,5350,76392.5438,CA-29,CL-1B,1879,TA-4
1961,31934.18,CO-E,31726,DO-5,RA-D,FU-16,3174,948,30148,10484,69553.5096,CA-2A,CL-3,4574,TA-1
1962,58762.08,CO-3,33514,DO-B,RA-5,FU-24,4362,6963,27228,5264,51405.4355,CA-2,CL-1D,11845,TA-1
1963,58833.41,CO-2,31566,DO-8,RA-A,FU-A,5398,7964,22842,9903,75563.6266,CA-1C,CL-1E,14243,TA-3
1964,46807.47,CO-3,44669,DO-12,RA-4,FU-1,5381,1063,19157,9587,43166.2307,CA-14,CL-1E,1119,TA-2
1965,65675.55,CO-6,57853,DO-9,RA-8,FU-5,7214,4693,23014,10170,54120.6263,CA-1F,CL-1A,12627,TA-4
1966,51860.67,CO-5,40918,DO-2,RA-1E,FU-29,4453,10100,14299,10430,29270.7925,CA-27,CL-13,7820,TA-2
1967,68180.44,CO-1,41768,DO-10,RA-1F,FU-29,5179,10241,34127,6778,19023.4841,CA-22,CL-1,6090,TA-2
1968,55622.91,CO-8,44132,DO-C,RA-8,FU-8,6205,6011,36156,10050,59489.1629,CA-1A,CL-1C,4215,TA-3
1969,47671.24,CO-6,33773,DO-B,RA-29,FU-1F,4175,8275,24715,7991,54809.7023,CA-B,CL-B,8857,TA-2
1970,76060.36,CO-13,29868,DO-B,RA-29,FU-A,4130,3370,33676,10004,52770.7864,CA-1B,CL-1A,4387,TA-4
1971,44898.23,CO-0,39595,DO-6,RA-20,FU-10,4523,3047,21534,8272,NA,CA-12,CL-1C,12928,TA-2
1972,66791.67,CO-9,52744,DO-B,RA-12,FU-14,5096,10814,25463,4832,19244.6143,CA-10,CL-6,4765,TA-4
1973,63187.99,CO-B,24363,DO-8,RA-16,FU-29,4948,4176,17149,7930,23301.2253,CA-13,CL-1D,2760,TA-0
1974,57279.07,CO-7,39836,DO-11,RA-1F,FU-18,7021,4720,24510,8933,2501.4169,CA-E,CL-1B,1840,TA-2
1975,37892.26,CO-14,41725,DO-3,RA-A,FU-21,5854,8111,1509,6738,45267.8973,CA-F,CL-3,1715,TA-2
1976,50797.6,CO-4,33031,DO-1,RA-23,FU-9,5582,10672,15251,9276,54632.7224,CA-2B,CL-9,10368,TA-3
1977,50106.85,CO-10,31047,DO-7,RA-7,FU-3,3721,1213,18516,8981,30052.2854,CA-25,CL-13,14300,TA-1
1978,40116.12,CO-2,26335,DO-11,RA-18,FU-14,5383,6798,4568,4368,NA,CA-11,CL-F,4278,TA-0
1979,57351.59,CO-13,48491,DO-A,RA-3,FU-14,5279,9391,27619,8179,56862.2576,CA-19,CL-14,11325,TA-4
1980,44563.14,CO-10,45424,DO-12,RA-16,FU-1A,4858,9653,22542,9735,46804.9017,CA-7,CL-6,13732,TA-4
1981,54817.54,CO-0,45534,DO-8,RA-F,FU-23,3647,5949,18073,3237,4701.1129,CA-11,CL-B,10480,TA-0
1982,56963.17,CO-C,32015,DO-F,RA-C,FU-0,5781,9013,32378,8472,62552.2515,CA-1B,CL-1,14244,TA-3
1983,46734.01,CO-1,33030,DO-7,RA-F,FU-2,3239,6086,21501,6354,14984.7078,CA-24,CL-1B,7356,TA-1
1984,55571.72,CO-A,30548,DO-10,RA-23,FU-24,4921,6635,21681,6322,27409.7578,CA-2C,CL-F,12106,TA-3
1985,65398.09,CO-9,38154,DO-F,RA-11,FU-10,6238,8717,26977,7312,55063.5638,CA-13,CL-1A,13288,TA-4
1986,61370.08,CO-A,40113,DO-1,RA-1E,FU-3,6003,7225,1581,7061,23444.5896,CA-14,CL-2,1555,TA-0
1987,49118.7,CO-12,26850,DO-6,RA-1D,FU-E,4246,2424,10650,8296,53620.7219,CA-29,CL-22,7354,TA-3
1988,46716.77,CO-B,30942,DO-11,RA-1A,FU-5,6822,9046,21544,5207,41588.8969,CA-20,CL-F,3733,TA-2
1989,65381.22,CO-8,29387,DO-E,RA-E,FU-10,6963,8860,20382,8387,67389.602,CA-A,CL-7,4802,TA-3
1990,57860.78,CO-3,31072,DO-10,RA-19,FU-F,4404,4959,22371,7749,67258.7947,CA-2C,CL-23,907,TA-4
1991,53117.25,CO-10,42629,DO-6,RA-14,FU-25,6820,3671,14940,9902,65545.722,CA-12,CL-8,11915,TA-0
1992,69794.3,CO-9,44635,DO-B,RA-16,FU-12,3748,7000,1337,11548,30995.6966,CA-A,CL-B,1983,TA-4
1993,61196.23,CO-3,12845,DO-2,RA-1B,FU-4,6444,7685,12278,9455,NA,CA-20,CL-9,10350,TA-2
1994,48502.71,CO-13,37972,DO-2,RA-B,FU-2A,6665,10966,24876,8977,51442.4756,CA-2C,CL-3,1633,TA-3
1995,53590.23,CO-9,54226,DO-9,RA-18,FU-12,8571,3929,18044,11888,21705.6488,CA-6,CL-21,3618,TA-4
1996,45284.98,CO-7,51906,DO-0,RA-13,FU-2B,4757,6836,9214,5995,37765.8998,CA-21,CL-5,14149,TA-4
1997,55067.46,CO-0,32462,DO-5,RA-21,FU-10,4484,10716,17329,9715,21812.4142,CA-26,CL-D,13542,TA-1
1998,50296.61,CO-5,41051,DO-4,RA-D,FU-16,5771,5702,31193,7900,1783.0032,CA-2D,CL-1B,12831,TA-1
1999,64998.8,CO-10,34169,DO-8,RA-14,FU-15,6142,5112,26247,6389,NA,CA-1C,CL-16,10915,TA-4
2000,46214.35,CO-D,47253,DO-12,RA-14,FU-8,3451,10531,4199,8118,NA,CA-21,CL-17,13352,TA-4
2001,31029.04,CO-5,47356,DO-6,RA-7,FU-9,5224,3792,30091,8270,73297.0647,CA-8,CL-14,14419,TA-1
2002,65418.11,CO-A,43076,DO-1,RA-13,FU-12,4935,9355,34572,4563,38766.3443,CA-1D,CL-11,12192,TA-4
2003,54910.86,CO-4,40725,DO-7,RA-27,FU-F,8408,249,8518,11012,40403.0898,CA-8,CL-4,14339,TA-1
2004,51587.06,CO-6,45420,DO-A,RA-1B,FU-10,5799,7556,28758,6626,NA,CA-13,CL-18,5113,TA-3
2005,67282.34,CO-E,29068,DO-C,RA-1B,FU-0,3940,9928,24895,6339,14198.6416,CA-1F,CL-9,7264,TA-1
2006,51929.45,CO-0,27829,DO-F,RA-12,FU-28,7912,6395,15159,6327,12250.0679,CA-E,CL-A,1301,TA-1
2007,46111.76,CO-C,49261,DO-11,RA-1C,FU-12,4457,8687,10306,8852,NA,CA-1E,CL-14,4518,TA-4
2008,56119.62,CO-0,32038,DO-12,RA-26,FU-27,4569,7373,15082,8660,50212.9969,CA-1F,CL-24,5921,TA-3
2009,71455.84,CO-A,37917,DO-B,RA-15,FU-22,5051,1477,2251,8306,NA,CA-1E,CL-26,13358,TA-2
2010,60047.6,CO-0,28648,DO-3,RA-17,FU-2A,6022,1981,21797,8916,13242.2631,CA-4,CL-1B,10302,TA-0
2011,72429.89,CO-B,37139,DO-E,RA-10,FU-4,8221,8491,24982,5680,68751.7918,CA-1,CL-12,1685,TA-4
2012,45719.25,CO-3,52404,DO-B,RA-9,FU-29,6190,5990,7014,9936,7276.3938,CA-8,CL-E,7013,TA-0
2013,33168.44,CO-B,49373,DO-B,RA-B,FU-25,5861,9281,31482,11030,17640.7234,CA-2C,CL-1D,2593,TA-2
2014,52767.85,CO-3,17386,DO-3,RA-27,FU-16,5654,7721,20082,10675,79956.4721,CA-29,CL-1A,13085,TA-4
2015,68178.15,CO-B,31758,DO-10,RA-29,FU-22,5923,8968,2203,12298,66091.3966,CA-2A,CL-16,8289,TA-4
2016,51274.05,CO-3,29303,DO-C,RA-22,FU-16,7002,6919,4664,7661,18658.3989,CA-7,CL-C,2564,TA-0
2017,44507.43,CO-7,33689,DO-4,RA-12,FU-14,5322,217,33976,9045,25338.6563,CA-8,CL-19,11531,TA-0
2018,50299.23,CO-9,29397,DO-8,RA-1D,FU-1D,3422,1838,7745,8632,40905.3863,CA-2,CL-19,11405,TA-0
2019,59531.02,CO-C,27493,DO-12,RA-0,FU-20,5980,2145,22417,8244,20047.3006,CA-7,CL-A,6130,TA-0
2020,49608.84,CO-C,46403,DO-6,RA-1F,FU-20,4275,554,9327,7232,981.8221,CA-1D,CL-9,10516,TA-0
2021,63436.7,CO-0,38434,DO-4,RA-E,FU-1E,3709,2480,25625,10003,53640.4006,CA-18,CL-A,669,TA-0
2022,36093.66,CO-11,44658,DO-A,RA-1B,FU-C,4513,3398,29474,4656,28140.4415,CA-27,CL-11,11008,TA-1
2023,45601.04,CO-7,49006,DO-10,RA-1D,FU-17,5068,2179,1768,9551,21904.0295,CA-B,CL-3,5235,TA-1
2024,65038.13,CO-14,37514,DO-2,RA-8,FU-0,4701,10274,22529,7774,29014.9401,CA-1,CL-F,13978,TA-2
2025,63235.55,CO-9,38615,DO-12,RA-B,FU-27,5463,10140,8296,11223,31223.0517,CA-23,CL-14,10716,TA-3
2026,58844.61,CO-E,48283,DO-E,RA-9,FU-1C,7275,10402,16442,10527,NA,CA-1,CL-A,10828,TA-1
2027,48495.33,CO-9,24424,DO-A,RA-E,FU-14,5131,8645,1457,5270,36697.4052,CA-A,CL-19,8792,TA-1
2028,44885.6,CO-7,36516,DO-4,RA-9,FU-1A,3239,4990,5029,9778,22096.8124,CA-1A,CL-7,3518,TA-0
2029,60621.39,CO-B,53730,DO-2,RA-1A,FU-12,7606,7024,3803,7572,54499.7562,CA-27,CL-10,2566,TA-3
2030,48206.52,CO-E,36096,DO-4,RA-16,FU-10,4763,8722,32746,7720,19455.5443,CA-F,CL-17,836,TA-0
2031,68063.44,CO-6,38279,DO-10,RA-25,FU-1D,7811,3205,33703,12204,50594.031,CA-21,CL-10,13563,TA-4
2032,38696.64,CO-9,39990,DO-D,RA-26,FU-1B,4724,5960,10737,8437,NA,CA-19,CL-D,11767,TA-3
2033,62497.04,CO-B,34286,DO-0,RA-E,FU-B,5046,621,21828,9197,4938.8582,CA-26,CL-0,10128,TA-0
2034,44311.82,CO-C,48025,DO-C,RA-18,FU-3,2647,5884,17448,7615,84428.0526,CA-24,CL-1D,14426,TA-4
2035,70170.36,CO-E,37191,DO-11,RA-0,FU-1D,7338,2274,21005,9371,82981.3346,CA-29,CL-22,11338,TA-4
2036,34360.89,CO-5,31805,DO-4,RA-9,FU-4,5351,7713,21582,10319,57730.9276,CA-13,CL-12,12535,TA-1
2037,39987.86,CO-D,40905,DO-9,RA-25,FU-13,5667,1835,4886,6827,48682.2012,CA-C,CL-1C,14243,TA-2
2038,65678.81,CO-7,54548,DO-B,RA-27,FU-8,7187,2655,23834,8500,67342.2576,CA-12,CL-E,3278,TA-4
2039,71244.48,CO-4,49287,DO-7,RA-10,FU-28,6513,7585,28422,14951,25883.6931,CA-1D,CL-B,11464,TA-0
2040,48696.42,CO-11,44587,DO-A,RA-25,FU-19,6112,4919,1542,7768,50141.3016,CA-1B,CL-23,11834,TA-4
2041,59492.14,CO-D,32424,DO-5,RA-15,FU-11,4762,1882,19404,7226,46795.2136,CA-28,CL-16,9998,TA-0
2042,40079.49,CO-A,40161,DO-0,RA-C,FU-2B,5678,6384,22917,5947,24768.1406,CA-D,CL-2,7162,TA-0
2043,70528.23,CO-8,29604,DO-E,RA-19,FU-6,5057,8332,26185,9594,66367.567,CA-1A,CL-B,2434,TA-4
2044,75960.4,CO-E,51485,DO-9,RA-D,FU-E,4681,8591,15710,4094,18351.3321,CA-26,CL-23,13197,TA-4
2045,32047.62,CO-C,25321,DO-8,RA-1F,FU-11,5924,4478,32960,8147,20230.7377,CA-1E,CL-2,10701,TA-0
2046,58320.14,CO-1,44440,DO-8,RA-14,FU-19,4284,9313,34973,4280,NA,CA-9,CL-11,1536,TA-4
2047,53455.79,CO-11,31370,DO-D,RA-25,FU-3,4979,6537,20059,5952,12643.7182,CA-E,CL-1D,11331,TA-1
2048,42824.45,CO-2,32046,DO-0,RA-2,FU-27,6849,2225,9910,6463,9825.0643,CA-6,CL-11,6009,TA-0
2049,42994.17,CO-10,44043,DO-4,RA-D,FU-4,6151,6477,16986,10750,62145.2398,CA-2B,CL-13,13147,TA-3
2050,65872.16,CO-D,31862,DO-11,RA-22,FU-22,5249,7982,12446,8859,57497.6404,CA-2B,CL-14,1233,TA-4
2051,75891.9,CO-0,46439,DO-E,RA-D,FU-5,4672,8541,10997,10597,26201.4168,CA-3,CL-1B,13854,TA-1
2052,39968.3,CO-0,45811,DO-B,RA-12,FU-4,6243,7737,12079,8679,47128.2773,CA-F,CL-17,10084,TA-1
2053,61962.74,CO-2,33717,DO-10,RA-12,FU-13,5743,9749,10789,8101,64031.0535,CA-16,CL-13,8644,TA-4
2054,52979.91,CO-4,48697,DO-9,RA-28,FU-2A,4254,4293,3328,13008,37736.4188,CA-25,CL-3,1017,TA-3
2055,60830.23,CO-E,33917,DO-0,RA-1,FU-1C,6673,5987,27278,8295,80574.3017,CA-1,CL-15,5655,TA-2
2056,57562.56,CO-10,19224,DO-3,RA-1A,FU-28,5144,652,29547,3601,71715.087,CA-15,CL-E,3823,TA-0
2057,37448.67,CO-4,29055,DO-4,RA-21,FU-10,4054,7569,3433,9535,48513.491,CA-5,CL-14,2039,TA-0
2058,39158.55,CO-B,48307,DO-E,RA-1E,FU-18,7739,4656,22776,8917,21718.1889,CA-15,CL-26,2780,TA-3
2059,27744.56,CO-6,40642,DO-6,RA-1B,FU-1D,4476,9947,15025,7770,58323.0968,CA-5,CL-13,12061,TA-1
2060,53353.21,CO-7,55740,DO-7,RA-B,FU-1C,6243,4546,30274,7029,7289.1608,CA-9,CL-1B,12822,TA-1
2061,45971.19,CO-A,34937,DO-10,RA-18,FU-A,3314,6003,23039,5790,22900.6245,CA-D,CL-22,3250,TA-0
2062,47979.85,CO-3,39391,DO-8,RA-6,FU-12,4535,8156,33227,10286,59156.4635,CA-10,CL-1,4397,TA-1
2063,46829.82,CO-6,24861,DO-2,RA-6,FU-A,5910,1068,5162,7711,12017.0545,CA-10,CL-1B,13256,TA-0
2064,36328.51,CO-7,20135,DO-11,RA-B,FU-1E,2478,7243,25326,5017,1465.4021,CA-22,CL-1A,9875,TA-0
2065,41226.6,CO-6,40340,DO-7,RA-23,FU-2B,7416,10072,28974,10400,25732.698,CA-4,CL-24,7279,TA-2
2066,37927.07,CO-E,44807,DO-9,RA-A,FU-F,6815,3498,3049,10207,NA,CA-C,CL-19,5359,TA-2
2067,57378.34,CO-A,40869,DO-9,RA-4,FU-16,6893,6050,7755,7027,13646.2672,CA-2A,CL-4,13947,TA-1
2068,43301.13,CO-6,38181,DO-11,RA-C,FU-21,6136,8526,35092,7374,80862.9759,CA-13,CL-B,11909,TA-4
2069,53800.73,CO-2,41488,DO-B,RA-1D,FU-28,3105,444,31854,6350,57937.6458,CA-1,CL-25,9552,TA-1
2070,50661.56,CO-1,24499,DO-C,RA-0,FU-B,5788,4150,1573,8199,34301.0784,CA-1A,CL-E,1170,TA-0
2071,50571.4,CO-A,29215,DO-A,RA-13,FU-26,5399,8772,8021,11117,62233.8399,CA-12,CL-12,13832,TA-0
2072,46975.82,CO-5,38543,DO-9,RA-12,FU-1B,5350,8809,8407,5985,72698.2837,CA-6,CL-14,9170,TA-4
2073,41679.92,CO-F,45804,DO-11,RA-16,FU-27,6056,5697,12231,8780,72405.6947,CA-2C,CL-25,12998,TA-4
2074,57048.6,CO-14,36508,DO-8,RA-1C,FU-4,6020,4140,28364,8592,NA,CA-1D,CL-E,1070,TA-3
2075,36994.46,CO-E,57565,DO-C,RA-9,FU-21,6813,10511,24578,8339,52902.5049,CA-B,CL-12,8011,TA-3
2076,64538.0,CO-10,34851,DO-1,RA-0,FU-16,4777,8713,930,11879,42465.0111,CA-11,CL-1E,4718,TA-1
2077,66084.42,CO-C,38804,DO-12,RA-D,FU-A,5714,9082,5375,6879,66698.7394,CA-4,CL-2,2107,TA-3
2078,67278.97,CO-D,53319,DO-1,RA-29,FU-1F,3638,7350,12261,6273,17555.5798,CA-2D,CL-25,991,TA-3
2079,53830.46,CO-0,36836,DO-D,RA-15,FU-23,6586,9268,21116,7483,NA,CA-12,CL-1B,13536,TA-0
2080,52504.66,CO-5,30998,DO-11,RA-E,FU-28,4474,5300,21034,8503,39244.7098,CA-12,CL-17,13552,TA-1
2081,63306.57,CO-14,27852,DO-12,RA-13,FU-13,4768,10695,8331,7876,29682.3748,CA-1E,CL-A,6671,TA-4
2082,60236.87,CO-C,43173,DO-B,RA-14,FU-5,5479,7365,3040,6220,49805.1863,CA-1,CL-3,13453,TA-4
2083,46062.37,CO-14,45562,DO-B,RA-F,FU-10,4505,2264,9937,6556,44368.5416,CA-B,CL-19,3735,TA-3
2084,36921.47,CO-6,38583,DO-5,RA-1B,FU-1B,5982,6962,35357,12229,53364.8611,CA-2A,CL-1F,1690,TA-4
2085,57559.8,CO-D,23137,DO-6,RA-11,FU-0,4267,10330,4336,7228,NA,CA-A,CL-1B,1011,TA-3
2086,69237.96,CO-F,34987,DO-0,RA-7,FU-C,4093,917,4272,10709,76589.6266,CA-C,CL-1D,13845,TA-1
2087,58764.51,CO-F,27524,DO-3,RA-1B,FU-9,6631,6716,10822,7995,65578.6596,CA-26,CL-6,13775,TA-3
2088,53128.28,CO-13,38780,DO-11,RA-0,FU-15,6403,758,1332,6956,NA,CA-3,CL-13,14074,TA-1
2089,48637.03,CO-6,44237,DO-1,RA-E,FU-5,4450,2335,11211,7022,61183.6941,CA-1D,CL-22,12980,TA-2
2090,55946.16,CO-13,65248,DO-3,RA-16,FU-1D,7283,5727,21346,10552,29113.9938,CA-16,CL-1F,8549,TA-4
2091,60486.48,CO-0,45721,DO-2,RA-0,FU-22,5612,6122,30424,9180,66018.6145,CA-17,CL-21,3515,TA-2
2092,67627.85,CO-14,30433,DO-F,RA-4,FU-12,7227,5473,15062,5797,45697.5658,CA-1A,CL-19,5820,TA-4
2093,49876.41,CO-8,48196,DO-6,RA-6,FU-0,5211,3375,17449,6155,NA,CA-28,CL-1B,9503,TA-2
2094,48197.57,CO-B,53687,DO-0,RA-22,FU-2,5203,5173,18963,6220,NA,CA-10,CL-2,1802,TA-1
2095,48362.27,CO-11,39913,DO-4,RA-E,FU-27,5099,3743,1828,9023,9187.3626,CA-C,CL-1D,3547,TA-0
2096,61318.87,CO-5,27858,DO-4,RA-12,FU-26,3908,10964,17874,8710,53458.7944,CA-6,CL-1A,9901,TA-1
2097,48262.98,CO-D,43172,DO-9,RA-1B,FU-11,4614,7161,11880,11339,23765.7129,CA-E,CL-20,11071,TA-3
2098,42695.79,CO-1,28986,DO-6,RA-A,FU-28,6650,803,9389,4715,66665.8147,CA-21,CL-11,559,TA-1
2099,44587.58,CO-4,38051,DO-3,RA-16,FU-5,6081,9975,14073,10674,35325.2019,CA-1,CL-18,12833,TA-3
2100,48101.23,CO-C,40518,DO-0,RA-3,FU-1B,8626,228,11818,5680,56266.966,CA-1B,CL-22,13354,TA-2
2101,61082.96,CO-0,23989,DO-5,RA-14,FU-1,5410,5489,24508,14543,NA,CA-19,CL-4,9503,TA-0
2102,38048.95,CO-1,46196,DO-10,RA-4,FU-3,7328,423,1820,11558,NA,CA-F,CL-1B,8221,TA-1
2103,60011.15,CO-13,48457,DO-B,RA-16,FU-2,5118,4666,14372,9569,71056.752,CA-C,CL-5,11712,TA-4
2104,56764.53,CO-0,39257,DO-C,RA-A,FU-1E,5828,969,28072,8752,NA,CA-D,CL-14,416,TA-2
2105,55753.17,CO-11,44097,DO-A,RA-C,FU-1D,4524,2325,35842,10662,23870.0063,CA-2B,CL-B,1018,TA-2
2106,48004.88,CO-1,42765,DO-0,RA-20,FU-3,5566,2814,4005,14245,66941.4214,CA-F,CL-F,2637,TA-2
2107,43859.28,CO-1,35937,DO-9,RA-26,FU-A,6453,10652,11583,6565,54572.5393,CA-1B,CL-18,13358,TA-3
2108,50554.22,CO-12,63287,DO-B,RA-E,FU-7,6518,5845,31674,12360,NA,CA-16,CL-D,3568,TA-4
2109,54276.52,CO-3,49095,DO-2,RA-13,FU-29,5581,2837,22356,9121,42699.3545,CA-A,CL-17,6918,TA-0
2110,38905.84,CO-2,42340,DO-B,RA-20,FU-16,4581,1450,2221,8708,60964.0445,CA-2D,CL-24,2885,TA-3
2111,58495.79,CO-12,44655,DO-0,RA-6,FU-29,5824,8668,14502,9514,61204.5011,CA-0,CL-12,1984,TA-1
2112,56265.68,CO-3,37642,DO-10,RA-7,FU-F,5185,7429,24920,9565,44582.6485,CA-B,CL-23,12709,TA-2
2113,49811.4,CO-D,22304,DO-9,RA-1D,FU-19,3601,7270,19238,8050,74329.3941,CA-22,CL-E,9772,TA-3
2114,43663.63,CO-13,45484,DO-8,RA-15,FU-1B,5086,2176,12496,7367,NA,CA-17,CL-F,4119,TA-0
2115,58209.74,CO-13,51873,DO-3,RA-16,FU-C,5400,9768,6800,7308,43931.6468,CA-2C,CL-11,6775,TA-3
2116,65429.08,CO-7,32745,DO-D,RA-20,FU-1C,5302,3212,22883,6751,10759.0479,CA-0,CL-8,10191,TA-0
2117,53985.53,CO-3,47432,DO-3,RA-F,FU-13,3289,3216,10677,8908,27274.5825,CA-C,CL-18,10229,TA-0
2118,38781.38,CO-C,38458,DO-11,RA-28,FU-1A,5322,1699,32319,6993,55828.5126,CA-13,CL-1E,4282,TA-3
2119,51518.22,CO-4,44682,DO-9,RA-B,FU-1E,4919,1862,21736,9584,43193.9721,CA-C,CL-1B,5046,TA-1
2120,57937.44,CO-13,29505,DO-8,RA-9,FU-28,5924,3171,19216,8127,22086.4766,CA-16,CL-21,6514,TA-1
2121,37826.0,CO-7,41390,DO-A,RA-12,FU-1D,7437,8123,23136,7399,26746.9738,CA-1E,CL-3,13600,TA-2
2122,52080.21,CO-11,27916,DO-11,RA-8,FU-4,3451,10363,11267,5348,56087.6119,CA-1C,CL-C,5354,TA-4
2123,30646.32,CO-3,33174,DO-5,RA-5,FU-1B,5950,3386,11306,11010,NA,CA-A,CL-16,2487,TA-0
2124,75300.49,CO-11,43343,DO-8,RA-5,FU-9,4835,264,7383,5441,18167.3743,CA-A,CL-22,11151,TA-1
2125,59893.25,CO-4,39791,DO-E,RA-1C,FU-1E,6201,824,21814,6443,NA,CA-2C,CL-E,10337,TA-1
2126,44361.37,CO-11,53822,DO-F,RA-C,FU-16,5314,5027,19588,10211,31873.3049,CA-2D,CL-22,11311,TA-4
2127,65982.55,CO-8,13869,DO-9,RA-24,FU-0,3029,991,11731,8492,NA,CA-14,CL-F,919,TA-2
2128,38081.71,CO-7,33195,DO-1,RA-29,FU-23,3588,3072,19507,6847,31551.016,CA-C,CL-2,10605,TA-0
2129,43107.91,CO-11,27442,DO-5,RA-D,FU-2,5834,975,5504,6563,NA,CA-7,CL-1D,4275,TA-2
2130,50042.62,CO-12,30281,DO-9,RA-3,FU-6,6548,6817,30488,7000,28713.6732,CA-0,CL-26,8336,TA-2
