id,distance,height,landings,number,pack,age,usage,region,weight,item,volume,width,max,power,size,target
177,4974,16818.761,10567.26141,5045.25037,53957.7926,13183.1695,32434.22378,RE-10,2121,IT-A,56631,33160.482,28947,21898,1252,2.130748612955763
178,6102,4239.5856,18766.46131,37671.93207,37366.1513,22754.5314,28247.66983,RE-7,2925,IT-0,39881,17074.942,13141,16507,1311,-19.328190685430773
179,7394,6130.191,28875.53906,9069.28114,53203.0284,50669.3873,17065.49316,RE-D,2497,IT-4,40894,25413.159,7258,12148,1134,-49.87302673893308
180,3120,1115.7058,1018.70211,9822.27608,49701.1658,38449.5602,29491.36827,RE-11,1952,IT-E,33719,22889.192,19522,17195,1204,-46.94373340835558
181,6595,4689.1319,19277.61118,56455.36175,45936.537,50290.9709,46335.84563,RE-D,1099,IT-D,34542,24014.936,22701,6457,1719,9.598317685877259
182,6751,10325.9683,38579.42605,7201.17754,53710.8622,54511.0806,38312.4258,RE-11,707,IT-E,48323,22978.32,34325,15435,1300,25.782742047267597
183,5702,4195.2424,30504.58106,56641.71422,39145.8443,25060.8593,46159.02204,RE-9,1462,IT-A,50581,26123.791,11894,12397,1129,-15.259845021217213
184,4064,6896.2807,29679.07692,44721.24221,39998.4593,16357.8201,34677.53732,RE-F,3606,IT-F,60762,22562.932,29034,12040,1700,16.8234305658588
185,6020,10253.5147,4636.91569,35810.33213,68701.5209,20431.0781,29073.76141,RE-B,2840,IT-7,61664,24387.887,24588,25214,1661,72.75773893985726
186,6305,7089.932,36437.91079,27974.68321,50018.2267,25622.0672,44528.14545,RE-8,1889,IT-C,41025,29536.405,25062,16359,1269,8.311983075908806
187,4530,17587.6363,4528.99181,33966.07473,33871.8769,31304.2825,38868.37359,RE-E,1565,IT-F,79173,26365.664,24264,15768,1763,67.54951726789236
188,4224,4104.4414,44270.62368,24528.07542,47115.057,46449.657,31246.21426,RE-4,2435,IT-3,65033,11130.403,12022,17237,1079,-14.016697368133759
189,4046,4739.4559,38372.693,22599.90831,27646.3289,27355.4001,38885.76106,RE-C,1383,IT-C,31871,28698.793,21509,22127,1399,11.707841445826897
190,5378,15127.51,30763.76608,3909.67977,48500.4955,42050.6598,32669.0504,RE-11,2190,IT-11,54796,NA,25891,19110,1686,55.70161026504696
191,6205,3966.886,26350.30841,19455.29163,34471.639,19526.4049,27657.55576,RE-C,2010,IT-11,62013,21273.204,28365,12293,1390,25.541844538311786
192,5674,7994.8613,9689.29208,4399.00651,62119.4196,35902.7262,19924.1655,RE-0,2008,IT-5,67354,28354.061,29870,16905,1482,4.73991029871748
193,6555,10407.016,28923.26474,22108.98091,29077.6469,34821.9176,26145.677,RE-2,2782,IT-4,35628,36794.205,11045,11768,1300,-4.040280653622813
194,7496,10902.2485,37318.32393,54389.89008,44143.6147,26581.9568,37755.34544,RE-A,1357,IT-C,42277,36534.38,33779,22014,1533,47.07743748591018
195,5173,2501.6774,30090.01943,34756.54495,42156.2313,54666.265,30120.8971,RE-4,2185,IT-12,27839,17063.727,26352,9073,1398,353.53355579242674
196,4449,3385.2293,42983.54919,34694.16662,60625.831,19043.9213,15784.91238,RE-A,445,IT-9,40414,13554.692,1998,22209,1335,-45.139269108345225
197,4470,7822.6796,24123.83982,48324.46869,37548.2642,34356.0411,46238.99351,RE-1,2860,IT-2,73491,NA,16750,13206,1239,-1.7972516630178883
198,6253,12525.9508,37623.10677,32263.54659,29382.8135,40349.4626,15437.90786,RE-E,3912,IT-8,66205,NA,4121,17404,1161,-4.299560309674764
199,6447,16593.5415,37383.34827,26696.10653,45302.8917,39438.7363,26010.11262,RE-4,641,IT-5,44721,29222.155,10023,18440,1857,32.17983994396498
200,6761,17520.3808,23150.00783,60228.06526,28337.4582,50916.3591,33045.09829,RE-4,2016,IT-1,50616,30837.652,25150,19273,1257,40.53385834022003
201,3795,16176.5459,5761.02673,54130.07892,53332.9292,36164.7991,20557.94306,RE-D,2149,IT-B,47132,31491.102,18835,9464,862,-26.19471618092441
202,4483,14351.1515,6119.73646,16773.18105,43825.8109,25673.7071,36993.25472,RE-9,2560,IT-9,48160,20907.603,3799,18262,1271,-12.884350904377815
203,5866,14219.5734,3131.88928,1401.93426,46921.7888,39297.2141,9980.21954,RE-C,4054,IT-D,61819,33101.795,18918,13358,1255,2.6165189726169436
204,6668,6747.6704,7127.88699,20197.60418,41714.4974,59754.8165,15687.50785,RE-6,756,IT-10,37867,10387.91,6735,12702,852,-74.07000288757968
205,5314,15251.9298,10659.00061,19831.88561,26980.0992,34842.9852,38810.42594,RE-A,1404,IT-7,55734,29595.277,25564,9992,916,-1.4423180201681896
206,7793,12258.4483,31637.0086,54159.44245,25595.7748,38796.4247,20473.99244,RE-7,1222,IT-E,25102,25930.251,3246,18651,1287,-9.219583343906288
207,2490,3058.6006,21242.33129,1069.32212,42211.8365,55666.3799,36986.59216,RE-B,1194,IT-9,49767,33547.427,26047,16767,1138,7.1390918784784985
208,4976,2308.8532,11046.227,32383.24491,12845.4994,29339.9162,18046.47205,RE-10,2627,IT-1,23578,20615.528,8898,15259,1840,-24.47587852735872
209,5251,17222.0172,38225.54842,13186.93951,61517.3969,19335.3923,3240.3068,RE-10,2147,IT-7,57408,34094.083,22885,17511,1593,22.742659073026118
210,3392,15155.8758,10487.62045,2286.9745,35363.3944,21864.9016,52849.66997,RE-11,1496,IT-5,55123,15945.981,9679,16792,1174,-5.306727733190856
211,4375,13928.1108,14255.02382,12921.94102,40707.8849,41024.5534,18811.78783,RE-5,4424,IT-0,47046,37232.084,34525,8561,1433,6.132013473971119
212,4703,5785.5602,10212.34158,37333.50271,51114.2689,29477.0048,23491.18778,RE-6,3597,IT-D,67223,NA,31350,22106,668,-5.7117686167521615
213,5535,6343.0109,5753.88138,34649.46138,34615.3368,49485.9484,40762.86625,RE-A,3831,IT-4,60754,29850.741,7527,8907,1449,4.175678517039044
214,3288,6512.8899,27551.36077,42204.74221,60114.3449,52674.2156,37367.45988,RE-9,3633,IT-2,20499,28218.942,15669,13267,1195,-28.89889933097843
215,4516,11207.1715,34516.06034,57096.74588,67593.8963,42494.2476,27937.93188,RE-8,2082,IT-A,45033,32093.895,32099,14329,1055,-12.931682044540052
216,4237,2697.9333,3478.34799,35291.95282,30586.7456,25125.1431,33994.92601,RE-1,661,IT-D,29091,45451.0,1221,13877,1413,-11.839100031697118
217,4166,13180.0854,17728.00761,39407.74927,26333.8724,48123.0344,25735.92342,RE-6,3093,IT-5,34226,20118.397,21980,16028,1312,-17.068946662228953
218,5949,17350.7274,40843.97804,58399.5481,37790.7395,30239.7846,27946.01149,RE-B,3462,IT-E,61249,30238.386,9997,13630,1566,50.543236356835784
219,6562,18623.8007,19510.77819,49944.12105,49108.3658,41462.1995,33625.45023,RE-3,1283,IT-F,39693,23732.405,10888,17876,1619,32.42000764213438
220,7613,2030.6328,27076.03412,38250.47035,39621.9175,46141.4616,24815.08325,RE-C,3113,IT-D,51651,31053.09,30352,20201,1096,-4.524820538423954
221,6264,3386.3363,37041.98834,6901.36894,20432.3656,47086.2175,45257.6622,RE-F,4676,IT-C,26970,21757.47,10653,12310,898,-29.438155989842944
222,5375,9382.827,7272.90416,56772.00244,69756.9353,35483.7508,37066.19382,RE-C,3744,IT-D,70197,22576.714,26047,23371,1675,37.235060643598885
223,4943,5509.7382,17963.09181,38643.38204,41331.7161,39042.9816,12450.10798,RE-A,4095,IT-10,14907,25174.575,799,9124,1398,-47.89321369797704
224,7945,11924.6258,31699.86333,58245.57344,38001.0983,27907.6072,23884.70319,RE-6,1855,IT-7,54481,34373.748,15962,11508,1254,7.493097397285917
225,5310,14567.9007,16881.88222,13707.11578,32860.3177,38524.8284,6998.33062,RE-9,4792,IT-10,55842,39851.154,15137,13336,1730,40.671904019368235
226,4324,13158.4201,25575.72566,1495.02586,51474.5769,52449.8607,36499.75089,RE-3,461,IT-B,51757,NA,20632,16582,1049,-4.028331096373906
227,5826,15230.2939,30387.21365,2561.83965,34013.2883,39790.3735,30499.17763,RE-F,2843,IT-D,54931,22932.056,27133,19835,1506,58.40067334265538
228,3994,2098.1881,22167.89707,6466.19455,64254.1592,37566.1951,28332.77994,RE-3,2385,IT-7,45836,20758.554,31772,20707,997,-38.98803812789311
229,5121,4563.0607,41217.08935,19169.10469,48975.4033,38849.2851,33073.04256,RE-6,1407,IT-9,40097,29897.597,15127,18867,1155,-9.804624693930634
230,4734,6963.5001,12552.56041,12143.68244,62427.0408,48604.0715,47373.31577,RE-10,3705,IT-2,65299,22804.538,11505,13153,1149,-16.27829127093526
231,3596,8976.9123,28701.37573,23138.04378,54957.2096,37405.0818,50979.48853,RE-5,3604,IT-A,42126,30710.459,34406,13465,1525,32.24257820643474
232,8636,13887.3533,42772.06935,14218.54783,46703.3498,46935.4056,25921.1343,RE-10,4745,IT-2,37672,21525.475,18985,14544,1274,-18.947214601383067
233,4528,17528.2463,5543.11998,52695.25541,59715.1152,42909.8789,29459.9457,RE-B,1556,IT-5,42663,23192.065,20601,12824,1217,-50.32306292023274
234,6440,18503.9164,26424.17023,27257.61312,46263.9504,33296.1689,24988.80932,RE-1,4267,IT-3,79738,19094.089,21020,15736,1490,26.521729031102076
235,6885,15844.4714,6398.23222,23570.93099,44553.5443,46691.6664,30624.93465,RE-0,4209,IT-2,67102,25633.64,29688,24452,909,53.019982153045035
236,6074,7180.2403,10942.84316,10094.91699,24370.9224,21167.7042,21355.59003,RE-5,825,IT-6,26118,15789.967,394,17217,1566,-31.95064796191319
237,3134,8884.882,10649.82974,35787.90789,36097.3746,23622.7133,38582.36284,RE-1,2113,IT-6,47787,27001.79,24392,12507,828,-33.354332636741454
238,4255,4975.5265,19633.86983,60963.16405,36453.4176,30405.2931,40938.73168,RE-4,2758,IT-1,48236,26958.607,27747,19054,1863,27.40906366513228
239,6123,10676.4157,19007.90638,17047.39949,24478.4039,34083.4017,21333.01251,RE-3,4487,IT-4,35631,31722.29,4733,17602,1314,-10.233394956692726
240,6524,8894.3387,32362.7931,55353.88899,24116.4976,20238.4162,24651.2585,RE-9,2847,IT-6,41687,25980.984,12660,21761,1649,23.6774303018698
241,5375,17472.7068,4952.67435,23327.35311,47444.775,39371.7598,37167.48649,RE-B,937,IT-3,26889,31296.262,12054,16124,1471,5.513355251528731
242,4385,15811.1805,13339.59687,48265.88074,28036.8369,49752.5769,36556.82018,RE-6,4623,IT-E,34851,28180.474,12776,12822,1394,24.514955232043167
243,5869,10633.9398,7069.22484,12167.78647,49848.6688,32413.0715,26066.13368,RE-D,1826,IT-7,35434,25188.012,31010,10128,819,-41.79139886594423
244,5265,7395.2613,17966.05551,27358.84976,39526.4381,51506.2959,22174.906,RE-E,738,IT-13,51761,16451.499,17243,23678,1452,3.798256501022669
245,6153,13045.1146,22656.06659,39061.24082,51262.1736,36298.545,28244.22149,RE-8,4344,IT-6,68441,24377.849,27812,14201,1314,12.465594417632644
246,5755,2434.9915,36520.36554,48709.83397,44945.5826,25580.633,24864.88952,RE-D,3498,IT-7,48778,23955.916,19688,16337,1296,-13.93874484154441
247,2630,15980.3813,8671.72941,28769.4298,54201.0096,46522.0386,27558.48827,RE-3,4522,IT-D,57248,31572.988,13937,17371,1345,9.357268852948781
248,6505,14137.561,34237.38155,33433.44196,73074.4736,62082.2928,37459.6194,RE-3,4839,IT-2,24372,26567.127,25342,13438,1590,14.847992524634158
249,6608,6865.3951,9108.01286,61160.43733,61878.423,45233.4228,31185.91568,RE-F,3984,IT-F,21533,NA,11419,16381,1454,-6.304617093184137
250,6856,3994.0294,5640.59502,4605.31494,54945.8629,34831.2494,42858.10751,RE-6,1607,IT-B,47942,29438.975,7225,14359,1695,6.51965116506717
251,7054,1854.1511,36814.20516,44391.77579,29255.2746,11350.7172,31873.25848,RE-1,1250,IT-12,51019,27500.965,31032,8370,1047,-48.70208872579316
252,5673,15714.1083,6570.27715,34852.31591,42974.4042,35388.0506,32378.68831,RE-E,3673,IT-1,43559,40170.969,33148,17327,1474,32.56494517704185
253,3534,15616.0839,32220.07036,36296.88178,10997.2674,34927.6215,11745.63504,RE-10,3243,IT-4,54319,31720.496,16214,25134,1187,18.85689716831871
254,6513,6348.1682,18115.29045,21288.92457,40287.4802,46560.5707,35889.91629,RE-A,2479,IT-5,15719,26605.618,32904,18434,1042,-20.645425981189998
255,3509,11677.4706,28591.53596,56719.16452,27316.2273,41275.8081,29541.78064,RE-7,871,IT-5,47299,30278.064,27136,11966,935,-42.466555923590924
256,7047,12551.3238,29699.01984,45274.38522,53588.5726,36125.5704,10188.24074,RE-F,432,IT-1,43959,24453.273,533,14961,1549,-25.13937989676275
257,4330,17830.0947,38913.82107,16363.72588,25761.4168,27634.7869,27012.26081,RE-11,1717,IT-B,60479,32701.294,30731,17131,2014,91.03183258829624
258,4167,14915.1065,10744.12153,16092.3,57396.3426,45429.4875,32432.83919,RE-11,1723,IT-0,72679,34605.428,9981,12369,1761,41.89870566809344
259,5836,10346.9437,20770.76738,24664.83379,23942.611,25538.8453,20596.42595,RE-2,3343,IT-B,54709,29786.15,30529,15957,1406,24.163399467719938
260,5485,1443.9886,31266.92132,14544.12789,73415.3911,20512.6673,34333.37141,RE-2,4125,IT-4,39206,25204.2,4048,11586,1329,-58.5523437913202
261,5254,6974.0656,14058.39824,37650.39723,66749.3808,23871.6686,32877.57039,RE-A,3291,IT-5,37859,31072.876,15249,18412,1493,-20.563315179016755
262,3659,4197.6607,24755.69459,49696.42026,50548.8333,44735.7057,26225.27354,RE-7,3374,IT-7,43802,21347.467,16084,9703,1209,-46.773284753377936
263,4760,10698.431,14934.10573,14639.88865,50726.8339,21282.5262,42246.7718,RE-3,4410,IT-1,50059,40789.787,27556,8969,872,-15.525053426872775
264,4343,13823.8255,31034.6155,32577.96885,56024.4466,52750.8321,38576.68306,RE-0,1159,IT-2,38974,27022.131,21259,21721,1728,35.029003321346444
265,5841,6487.9956,10856.86178,37628.19953,67137.1409,32720.1407,42293.47372,RE-8,1221,IT-11,72578,25653.2,9698,18669,1415,15.797839535265364
266,5821,4212.8341,14383.2763,42885.74092,52376.3225,44340.2703,15297.43562,RE-D,545,IT-8,48108,20491.151,26944,12438,1423,-29.848294806296373
267,4108,7695.9175,7367.69045,40146.76963,32148.3151,55436.171,19743.95151,RE-7,4433,IT-7,29065,24245.815,28297,7949,931,-53.4145726433445
268,6862,10727.5952,44084.94195,23898.74542,57182.2889,35487.0655,43268.47562,RE-0,4066,IT-E,48114,23748.815,3701,13847,1322,4.326944388911324
269,5346,8681.0509,31915.30812,41881.43396,35130.3893,31995.3294,33715.94494,RE-C,602,IT-12,32942,36732.665,27009,18005,1554,36.19898600562096
270,5061,3746.3076,19486.65979,26350.71586,35274.8848,30501.0869,19367.08858,RE-E,2975,IT-8,40057,19451.005,19140,14140,1297,-33.771477142433454
271,5718,10996.359,26730.92493,25476.91379,14465.5355,21041.6094,48283.18956,RE-7,1437,IT-A,46612,29257.01,5905,17464,1478,27.628826599497295
272,5268,15190.6631,7497.84442,10928.54904,41300.533,56692.7633,31964.25579,RE-F,2951,IT-6,59453,20832.14,31784,16513,1169,37.086710050843216
273,5614,6849.5744,1472.15791,8708.33783,49472.7583,39872.4543,40293.06372,RE-1,4501,IT-5,71006,32074.635,32110,22740,1130,20.201746620619833
274,3903,17805.1199,17813.48207,11331.13421,26217.0406,26203.4552,29711.95726,RE-B,4273,IT-9,41106,NA,4809,21336,1016,98.36445921078204
275,7718,14429.1936,23479.12634,21008.33437,75294.9408,33032.1764,10641.93735,RE-8,4959,IT-3,58506,25691.132,19884,9566,1773,0.6149064903358576
276,4658,2982.476,17735.04228,43430.46274,23090.6671,34802.921,13050.04559,RE-1,4534,IT-F,54855,36497.058,13068,16510,878,-18.9184537900756
277,7642,18382.3808,42708.08604,54642.95289,37213.6877,40048.3256,2800.67119,RE-10,4342,IT-1,41442,23549.235,21635,20611,1307,-3.987155319912568
278,5475,14043.5726,41560.81127,50033.16522,14822.1681,38787.5899,33147.05631,RE-A,3527,IT-9,13361,18394.906,26473,17436,914,-17.532361007298277
279,6272,1591.6154,17333.7132,8637.24055,38297.0698,15674.4408,25908.69117,RE-A,4806,IT-13,53294,23933.681,2264,17529,1354,1.3741020943859583
280,5494,14161.7197,9871.02665,54704.10488,44235.4957,22675.8399,37022.83167,RE-6,4380,IT-12,30411,24676.257,6025,20977,1345,2.7205493853996052
281,6341,7072.9457,35456.39325,55759.04706,44104.0154,40037.4474,30900.71446,RE-7,2479,IT-13,25685,26516.514,30652,14521,1725,37.066032103320126
282,5246,1535.9299,32619.94142,30704.60742,29503.2549,36438.0508,24031.27625,RE-3,3627,IT-1,40176,25283.294,7366,12232,1320,-38.202804444520496
283,5200,8794.953,41193.28932,18747.56993,37792.5302,31258.126,23780.05324,RE-11,1903,IT-F,51095,26197.708,12745,7181,1260,-8.39116257403156
284,4285,17234.0847,4340.87496,3403.03381,42513.4427,48198.251,24365.77335,RE-C,2624,IT-D,40129,25324.124,3156,11564,1151,-24.66852064827605
285,3904,7820.6153,20815.50118,40280.03814,37232.3881,31397.3756,34346.03057,RE-2,1743,IT-3,61392,37915.626,33594,9645,1656,29.383601755774713
286,3616,3619.5553,41806.50258,27608.90211,36184.4017,33622.8348,30972.00035,RE-1,1563,IT-1,51823,22153.677,12026,22012,1405,-17.75974200138639
287,5729,14507.0356,40639.07589,19723.33338,44258.9558,33579.3026,35511.36338,RE-E,1051,IT-0,22204,24641.383,17785,17892,1159,-19.347753935094364
288,4279,10407.918,4774.77313,15609.66547,58768.8193,44822.5626,43755.54466,RE-1,4369,IT-6,36300,22930.913,24496,19636,984,-18.329499290899143
289,6521,6080.9336,37964.50332,42097.63612,21063.2082,53294.0134,40428.04402,RE-0,2277,IT-E,62849,15443.633,28570,16759,1086,14.514899953548571
290,5148,16023.7102,20350.92591,30429.55907,48777.807,4325.5657,45859.47355,RE-1,2642,IT-11,32392,22930.558,13540,9741,923,-25.074295161966965
291,4879,12747.7921,4907.44934,21112.30611,50772.0642,32458.5434,22423.9247,RE-B,1519,IT-C,60331,22073.143,8379,14713,1300,-10.655061865442516
292,4424,2699.3581,14925.71415,45840.36331,27559.1954,33858.836,28747.19657,RE-3,3562,IT-0,24906,25267.53,10891,24601,1194,-30.416793046551707
293,5299,10959.5791,10027.71917,56795.30831,19901.1636,18573.8106,9627.56981,RE-2,2879,IT-7,54264,27503.713,18739,13038,934,-29.247033241563162
294,3043,7390.8619,1341.71136,35415.06678,55080.1421,27491.1332,40241.9453,RE-5,3017,IT-4,63787,22981.354,15028,11353,989,-36.657140197647216
295,7888,11821.6851,19090.58115,26959.7881,25972.5631,29205.8652,28847.36463,RE-1,4610,IT-12,51262,15917.248,4294,14880,1468,24.089102193133513
296,5208,12758.8924,16341.24357,4339.45657,22594.897,22312.897,14378.33747,RE-F,1290,IT-13,49146,34921.04,1375,11806,1472,14.359623691596825
297,7767,17888.2043,23105.59368,46291.49849,46531.9221,49042.7178,25253.80991,RE-4,1847,IT-6,61077,32808.788,26107,10993,1245,11.910366156267012
298,3791,11567.4971,23937.30686,41638.5873,20686.7857,27473.1332,24735.69684,RE-7,2061,IT-10,38295,24177.02,21114,19849,1640,33.26752138583083
299,5650,17553.486,2197.00138,27275.87044,58789.3377,50373.1772,26950.68294,RE-7,3400,IT-13,34958,18349.539,6208,10957,1164,-36.04000428791004
300,5235,6541.9028,40920.0014,13852.44672,40173.0445,44827.353,30753.27774,RE-4,2481,IT-B,46820,29694.506,15834,18997,1747,62.62447076472506
301,5470,10702.9606,22688.08487,25623.02754,40935.5748,43765.1875,28333.26942,RE-E,713,IT-12,42852,13594.346,23715,7487,1560,-14.907695411142114
302,5341,6558.1626,19287.04676,54201.40227,37542.4361,16076.4231,23805.46628,RE-E,3951,IT-5,46208,21124.072,11979,15712,1003,-34.315731929163036
303,2909,6554.7386,42955.58915,5058.86609,35542.447,33513.7285,11504.95668,RE-E,2105,IT-11,52908,22937.479,4517,13838,1081,-28.68070370940503
304,5160,8800.3155,17030.31587,25407.3324,48030.2038,30208.6805,28898.4609,RE-7,4542,IT-D,35673,NA,13661,19105,1156,10.229756867375256
305,3119,13217.6342,23137.56664,59667.49976,40083.4248,33698.1766,31494.27359,RE-4,2856,IT-E,68745,NA,27091,17732,1260,34.57514543583782
306,5451,18030.1178,7688.02595,28814.29836,34914.4836,46341.1527,29010.23972,RE-F,2195,IT-9,48829,26506.53,24545,15485,1292,-12.00498688027984
307,6565,4344.3401,7964.2808,34609.83503,31047.3154,25656.8876,31777.41612,RE-C,3152,IT-6,12249,27585.672,34166,20011,1434,-27.554344020029973
308,6440,4014.2117,27526.84056,19809.33036,59613.3008,39957.3373,30266.74698,RE-5,4088,IT-2,59756,27323.797,5474,8203,1365,6.481686430677596
309,5290,6449.8322,18310.48811,9790.52983,57816.2732,28653.5637,14500.52791,RE-10,2909,IT-4,28583,35732.349,17338,21484,2023,15.66711266326135
310,4339,15373.921,19279.58381,55386.61712,38727.6396,28508.8469,24926.56281,RE-F,2341,IT-10,26756,27395.606,13616,11864,1327,-0.08253252314295723
311,4730,14304.858,5065.04134,50284.2117,47837.8517,29010.1669,41946.49394,RE-10,1468,IT-E,23606,9981.761,3005,8204,1037,-54.58151422559753
312,8083,9684.2418,14412.24,32682.74551,31968.0849,35722.9662,31089.06274,RE-11,905,IT-E,46784,28444.287,32013,16920,1188,10.423306379446883
313,5870,11764.5499,1243.02293,44648.98393,63668.2388,40310.2358,35117.10111,RE-B,4659,IT-0,34950,16236.282,7106,18464,1848,-7.1847933234757635
314,6492,7394.1727,3011.7217,18679.20764,56669.2681,22720.3558,27403.91692,RE-D,3076,IT-4,54838,33231.892,3011,9860,1526,-1.033861837719002
315,6631,17682.76,24171.09155,13349.35815,32767.2314,13152.9671,22365.53991,RE-D,2778,IT-E,37877,32738.284,1608,20504,1102,11.541160020450773
316,5029,10474.9692,21771.43786,57749.21182,59792.6766,42887.2167,29072.42304,RE-9,1957,IT-9,42332,25773.144,10972,11013,1403,-34.825478173759095
317,5605,5562.3425,28486.6168,60260.63793,29262.8563,24149.0753,21745.54381,RE-5,1377,IT-5,47334,33073.846,8585,9176,1183,-23.738682380630383
318,7480,11761.9589,24504.02734,22282.04382,28956.0568,42978.0461,25712.17974,RE-3,3333,IT-8,36057,36937.59,30060,9953,1161,-0.6115792569766183
319,5888,12500.766,16318.58397,44099.96302,52646.4573,43859.3539,43473.59958,RE-C,2225,IT-A,47853,27783.612,32826,19060,1038,14.675384179730077
320,3931,16682.8108,17272.12496,14295.45797,42251.9407,38495.8089,43045.80754,RE-0,2967,IT-F,46383,31624.174,29070,17642,1638,58.043454224722545
321,4559,15041.7006,38353.07573,58991.73283,44766.1074,41534.6604,26390.93049,RE-5,2395,IT-D,29315,25336.672,23323,7308,1251,-12.473522230833172
322,4923,14642.4566,29878.00522,49798.92789,33625.4107,23199.2411,27682.82084,RE-2,2989,IT-7,55456,28748.086,33198,15285,1031,25.299858986447564
323,4472,18108.8977,9927.6442,4558.93702,45164.3782,35540.3302,46272.10984,RE-9,4107,IT-5,44198,26961.895,33500,14200,1719,44.31622270670828
324,1737,2910.5082,37831.18122,24725.94203,37803.4498,48258.2331,30763.7848,RE-11,2469,IT-3,58348,29670.464,12011,19832,1633,57.36925157980142
325,7398,6921.8414,28208.20399,15716.74969,55248.3694,34289.4332,45366.47979,RE-7,846,IT-F,48119,23073.818,28077,16752,1255,7.901351908048313
326,4262,15483.656,30537.30832,49332.88336,54774.2607,29741.0209,8590.27039,RE-4,4155,IT-5,52995,24532.93,2487,25072,1230,-13.348997285155399
327,5105,1618.156,16644.65696,22549.59586,43637.0275,17235.3694,36050.3796,RE-7,4216,IT-C,44053,28079.881,1214,11089,1502,-27.506664176035315
328,6175,9067.0773,8376.38975,28696.16965,30799.6386,42613.2161,24734.39671,RE-E,1416,IT-1,31669,39281.134,12436,12219,1132,-27.30907636913587
329,4927,15461.2848,26487.46033,48334.02098,47815.8305,40251.2817,35593.92989,RE-5,4604,IT-0,46791,26982.178,3593,18033,1495,10.114405277698946
330,5086,6011.2883,14891.72855,22977.16546,44448.5385,15081.3907,43759.14968,RE-F,3307,IT-0,24036,26627.926,17532,10634,932,-58.37679010305082
331,5444,7126.1155,35139.79956,37821.70261,44455.5483,72499.756,42178.41631,RE-11,633,IT-C,48987,23434.764,5784,17306,1306,12.96030563814783
332,4404,14393.0034,11183.80046,52333.88164,46956.1666,34201.396,18183.3067,RE-E,1180,IT-6,45202,19040.608,3949,10694,1210,-40.46215057400475
333,4196,8225.4227,18241.55941,21314.75731,30912.1782,36325.7869,33117.9217,RE-D,3002,IT-E,14087,27574.789,12715,13851,981,-33.29833420319648
334,3893,5725.3635,5714.44777,47229.48519,41809.9941,16362.5528,29058.80665,RE-D,3749,IT-D,36384,25504.584,5612,13150,1563,46.5536450183683
335,2238,1305.3166,12257.4844,49769.44107,41505.176,55697.362,48203.99846,RE-A,3071,IT-13,57501,22677.125,5969,11864,1584,14.97948356044062
336,4945,8492.2383,21558.90911,33411.58104,44662.283,21841.8192,47412.98402,RE-B,2679,IT-4,25579,30491.116,33764,19325,1697,24.29704100685752
337,6693,18176.8716,7851.49514,24024.38545,48282.5634,43985.3565,19994.14958,RE-4,4561,IT-C,29503,35366.194,9948,9213,1735,15.790066991575967
338,2715,13182.9346,37548.69213,15144.96532,37699.3572,31276.0796,31727.98452,RE-5,4450,IT-F,30644,NA,32183,14293,1991,35.88219824008513
339,4414,9016.1004,43098.27098,10060.4552,34818.9632,40040.6465,30806.13693,RE-7,3091,IT-3,57099,33412.576,16309,14539,1576,36.73005847598926
340,5164,7436.6729,36532.32593,10755.35283,40816.4104,68439.675,25376.77691,RE-10,4591,IT-12,39245,30845.515,17189,17706,1316,-4.136863216984092
341,4848,10552.7733,11007.75025,58774.35751,52122.392,43807.8654,22299.34897,RE-4,3756,IT-11,49583,24998.488,4420,8299,1488,-11.156758452968075
342,5878,14385.857,25742.38581,56975.63561,38189.8489,38541.594,46324.06803,RE-7,827,IT-5,49993,34552.972,19332,12509,879,3.0884348980073817
343,4215,5940.5615,41196.60328,14277.21231,47956.3842,49956.6115,49060.54363,RE-0,684,IT-8,66701,42065.924,18713,18845,1426,50.19904748835507
344,3599,8704.133,20318.61003,7535.20733,46941.4561,37100.0706,25521.81899,RE-4,625,IT-2,32181,32588.144,5752,20969,1466,-13.045062139015437
345,6257,6877.2972,29229.24273,21630.14813,54761.8381,27915.7061,36871.30642,RE-B,2142,IT-13,53415,NA,9406,13416,1491,5.023429843413213
346,5353,4332.0946,16057.08888,40817.22357,34898.6213,45015.5365,23601.55966,RE-C,4972,IT-3,29816,28016.102,8943,11209,1272,-43.16716430779497
347,5335,1938.5556,15382.88859,8482.06322,57026.1143,32895.0247,22919.71305,RE-B,2198,IT-12,54847,28434.003,32211,18549,1361,6.1273806609365105
348,2731,5441.8316,27769.72665,20551.61002,30888.7987,19772.6385,30474.70057,RE-11,2115,IT-4,44669,35650.688,12387,2307,1169,-127.26568804297499
349,3665,991.3049,30626.16943,8796.73874,28729.6223,47456.3999,21395.74461,RE-8,2559,IT-5,44269,35678.48,23570,19196,1023,-21.695454727462774
350,6740,2822.7236,37802.27711,46163.94345,63755.6222,34197.3751,37099.70939,RE-F,3861,IT-7,22795,41637.773,22720,17493,711,-34.304861085334714
351,4728,12280.8189,32166.04167,21179.0613,42862.1681,25739.0913,43262.52414,RE-7,4806,IT-C,41994,24087.542,13849,20375,1144,4.719806471058609
352,5568,2344.4648,44214.35498,50363.16146,31357.6417,51646.6814,29593.26011,RE-7,2260,IT-1,72943,22652.101,15195,18603,1355,-110.35608269311281
353,4753,14074.2193,22272.65717,34142.90688,31504.3754,24763.8077,10224.16379,RE-5,1071,IT-1,35299,24440.383,12712,20496,1032,-35.20116927605587
