metal,shape,height,length,width,weight
platinum,sphere,1,1,1,11.04
silver,sphere,8,8,8,2812.19
tin,box,1,5,4,146.2
bronze,box,3,8,7,1560.72
bronze,box,10,5,9,4180.5
gold,sphere,2,2,2,80.93
platinum,box,7,3,7,3100.23
gold,sphere,2,2,2,80.93
tin,box,3,10,5,1096.5
gold,box,10,5,8,7728.0
tin,sphere,9,9,9,2790.25
tin,box,7,2,8,818.72
gold,sphere,6,6,6,2185.04
platinum,cylinder,7,4,4,1855.17
silver,sphere,10,10,10,5492.55
tin,sphere,8,8,8,1959.68
gold,sphere,9,9,9,7374.51
platinum,box,7,10,5,7381.5
bronze,sphere,2,2,2,38.91
platinum,cylinder,2,2,2,132.51
platinum,box,10,7,1,1476.3
bronze,box,4,9,8,2675.52
tin,box,9,7,7,3223.71
platinum,box,2,4,2,337.44
tin,box,9,8,4,2105.28
gold,sphere,5,5,5,1264.49
platinum,box,6,1,1,126.54
platinum,box,5,3,1,316.35
bronze,box,5,7,9,2926.35
tin,box,7,6,10,3070.2
platinum,box,5,1,1,105.45
bronze,sphere,6,6,6,1050.67
tin,sphere,7,7,7,1312.83
platinum,sphere,9,9,9,8050.13
silver,cylinder,10,7,7,4037.03
tin,cylinder,5,5,5,717.66
silver,box,7,4,5,1468.6
bronze,cylinder,5,5,5,912.04
tin,sphere,9,9,9,2790.25
silver,sphere,8,8,8,2812.19
bronze,cylinder,4,8,8,1867.87
platinum,box,6,1,8,1012.32
silver,sphere,3,3,3,148.3
gold,sphere,9,9,9,7374.51
tin,cylinder,5,1,1,28.71
gold,sphere,2,2,2,80.93
bronze,sphere,8,8,8,2490.49
platinum,cylinder,9,7,7,7304.74
tin,cylinder,10,9,9,4650.42
platinum,box,3,8,3,1518.48
gold,sphere,10,10,10,10115.93
gold,cylinder,8,9,9,9832.68
tin,box,10,5,10,3655.0
gold,sphere,6,6,6,2185.04
tin,sphere,3,3,3,103.34
silver,cylinder,1,3,3,74.15
platinum,sphere,8,8,8,5653.86
gold,cylinder,3,3,3,409.7
tin,box,6,6,4,1052.64
tin,box,5,2,2,146.2
bronze,box,4,5,9,1672.2
gold,cylinder,10,9,9,12290.85
tin,sphere,5,5,5,478.44
bronze,box,5,4,2,371.6
tin,box,2,2,1,29.24
tin,box,6,7,2,614.04
gold,cylinder,9,9,9,11061.77
tin,box,2,6,5,438.6
silver,sphere,6,6,6,1186.39
gold,sphere,1,1,1,10.12
bronze,sphere,3,3,3,131.33
platinum,box,9,9,9,15374.61
silver,cylinder,3,4,4,395.46
platinum,box,7,3,10,4428.9
bronze,cylinder,7,10,10,5107.44
platinum,box,6,6,5,3796.2
gold,cylinder,9,2,2,546.26
gold,cylinder,4,5,5,1517.39
bronze,box,5,1,7,325.15
bronze,box,6,9,8,4013.28
gold,cylinder,3,1,1,45.52
platinum,cylinder,5,10,10,8282.02
gold,box,2,3,9,1043.28
tin,box,6,7,4,1228.08
tin,sphere,3,3,3,103.34
silver,box,3,5,9,1416.15
silver,box,7,10,10,7343.0
platinum,cylinder,6,10,10,9938.43
tin,sphere,9,9,9,2790.25
bronze,box,3,8,2,445.92
gold,cylinder,1,5,5,379.35
platinum,box,3,10,9,5694.3
bronze,sphere,10,10,10,4864.23
tin,box,2,8,10,1169.6
silver,sphere,7,7,7,1883.95
tin,box,10,5,5,1827.5
silver,box,5,5,9,2360.25
tin,sphere,2,2,2,30.62
tin,sphere,9,9,9,2790.25
gold,sphere,10,10,10,10115.93
bronze,box,3,10,2,557.4
platinum,sphere,1,1,1,11.04
silver,box,8,10,10,8392.0
tin,cylinder,1,10,10,574.13
bronze,cylinder,8,3,3,525.34
gold,cylinder,2,9,9,2458.17
silver,cylinder,10,4,4,1318.21
bronze,cylinder,7,5,5,1276.86
gold,box,9,2,2,695.52
platinum,box,2,7,9,2657.34
platinum,cylinder,2,5,5,828.2
platinum,cylinder,5,10,10,8282.02
tin,box,10,10,6,4386.0
gold,sphere,9,9,9,7374.51
tin,box,6,6,7,1842.12
bronze,box,3,3,2,167.22
platinum,cylinder,4,3,3,596.31
platinum,box,9,5,2,1898.1
bronze,sphere,4,4,4,311.31
platinum,box,4,9,7,5314.68
bronze,cylinder,2,10,10,1459.27
tin,box,9,9,10,5921.1
tin,box,5,10,4,1462.0
gold,sphere,2,2,2,80.93
platinum,sphere,3,3,3,298.15
silver,box,4,8,3,1007.04
platinum,cylinder,7,1,1,115.95
tin,cylinder,10,8,8,3674.41
bronze,box,10,8,9,6688.8
tin,sphere,7,7,7,1312.83
gold,sphere,2,2,2,80.93
platinum,box,7,7,3,3100.23
silver,cylinder,7,9,9,4671.41
tin,cylinder,7,1,1,40.19
silver,cylinder,1,1,1,8.24
tin,box,6,4,2,350.88
gold,sphere,1,1,1,10.12
tin,sphere,10,10,10,3827.51
gold,sphere,7,7,7,3469.76
gold,sphere,1,1,1,10.12
platinum,cylinder,9,4,4,2385.22
tin,cylinder,1,5,5,143.53
bronze,sphere,7,7,7,1668.43
gold,sphere,4,4,4,647.42
platinum,sphere,8,8,8,5653.86
tin,box,3,5,5,548.25
silver,box,1,4,1,41.96
silver,box,6,8,1,503.52
silver,cylinder,10,7,7,4037.03
silver,box,9,9,7,5947.83
gold,cylinder,10,9,9,12290.85
gold,cylinder,6,7,7,4461.12
tin,box,9,5,7,2302.65
bronze,cylinder,10,4,4,1167.42
silver,sphere,8,8,8,2812.19
silver,box,4,4,5,839.2
bronze,sphere,9,9,9,3546.03
bronze,cylinder,7,10,10,5107.44
bronze,box,5,1,8,371.6
tin,cylinder,1,3,3,51.67
bronze,cylinder,2,7,7,715.04
silver,cylinder,2,2,2,65.91
gold,box,7,4,3,1622.88
platinum,cylinder,7,6,6,4174.14
silver,sphere,9,9,9,4004.07
platinum,box,7,9,4,5314.68
tin,box,4,3,6,526.32
gold,sphere,9,9,9,7374.51
silver,box,3,8,1,251.76
bronze,box,9,1,7,585.27
bronze,cylinder,8,10,10,5837.08
platinum,cylinder,6,6,6,3577.83
tin,sphere,8,8,8,1959.68
bronze,cylinder,6,9,9,3546.03
platinum,box,4,1,8,674.88
tin,sphere,2,2,2,30.62
tin,cylinder,4,2,2,91.86
platinum,cylinder,4,2,2,265.02
gold,sphere,3,3,3,273.13
silver,sphere,9,9,9,4004.07
gold,sphere,1,1,1,10.12
tin,sphere,1,1,1,3.83
gold,box,9,8,8,11128.32
platinum,box,7,7,1,1033.41
gold,sphere,8,8,8,5179.36
gold,cylinder,6,9,9,7374.51
bronze,sphere,2,2,2,38.91
bronze,box,6,7,2,780.36
silver,box,4,3,9,1132.92
platinum,cylinder,5,8,8,5300.5
tin,cylinder,6,9,9,2790.25
gold,sphere,6,6,6,2185.04
gold,cylinder,3,10,10,4552.17
gold,box,3,6,10,3477.6
platinum,box,3,10,8,5061.6
gold,sphere,8,8,8,5179.36
gold,box,4,5,2,772.8
platinum,sphere,9,9,9,8050.13
bronze,box,10,6,6,3344.4
platinum,sphere,2,2,2,88.34
gold,cylinder,8,5,5,3034.78
platinum,sphere,6,6,6,2385.22
bronze,box,3,5,9,1254.15
platinum,sphere,4,4,4,706.73
gold,box,5,7,3,2028.6
platinum,sphere,1,1,1,11.04
silver,box,9,6,9,5098.14
platinum,cylinder,10,10,10,16564.05
tin,sphere,5,5,5,478.44
gold,sphere,10,10,10,10115.93
bronze,sphere,2,2,2,38.91
tin,cylinder,7,3,3,361.7
tin,cylinder,10,4,4,918.6
gold,box,6,2,5,1159.2
platinum,cylinder,6,7,7,4869.83
bronze,sphere,10,10,10,4864.23
gold,box,5,3,3,869.4
bronze,cylinder,10,7,7,3575.21
bronze,box,9,6,2,1003.32
tin,cylinder,4,9,9,1860.17
bronze,cylinder,7,5,5,1276.86
tin,sphere,2,2,2,30.62
gold,sphere,8,8,8,5179.36
platinum,cylinder,3,7,7,2434.91
gold,cylinder,6,1,1,91.04
platinum,sphere,8,8,8,5653.86
silver,cylinder,7,4,4,922.75
tin,sphere,7,7,7,1312.83
gold,cylinder,2,10,10,3034.78
silver,cylinder,9,6,6,2669.38
platinum,sphere,10,10,10,11042.7
silver,sphere,4,4,4,351.52
platinum,sphere,6,6,6,2385.22
tin,cylinder,4,4,4,367.44
tin,box,9,2,9,1184.22
tin,cylinder,4,5,5,574.13
gold,cylinder,10,5,5,3793.47
platinum,cylinder,9,6,6,5366.75
gold,cylinder,5,3,3,682.83
gold,box,6,6,7,4868.64
tin,sphere,10,10,10,3827.51
tin,sphere,1,1,1,3.83
bronze,sphere,5,5,5,608.03
platinum,box,3,5,1,316.35
silver,cylinder,2,9,9,1334.69
silver,sphere,5,5,5,686.57
platinum,box,1,6,10,1265.4
platinum,box,6,5,3,1898.1
platinum,cylinder,7,8,8,7420.69
silver,box,8,3,8,2014.08
bronze,sphere,10,10,10,4864.23
bronze,box,9,6,3,1504.98
bronze,sphere,9,9,9,3546.03
tin,box,4,2,10,584.8
bronze,box,5,6,6,1672.2
platinum,sphere,1,1,1,11.04
silver,sphere,5,5,5,686.57
gold,box,9,8,9,12519.36
gold,box,1,9,3,521.64
gold,sphere,8,8,8,5179.36
tin,cylinder,4,10,10,2296.5
silver,sphere,1,1,1,5.49
tin,cylinder,3,8,8,1102.32
silver,cylinder,7,1,1,57.67
gold,cylinder,7,5,5,2655.43
tin,cylinder,2,1,1,11.48
silver,cylinder,1,6,6,296.6
tin,sphere,7,7,7,1312.83
tin,box,3,1,5,109.65
platinum,box,10,2,2,843.6
silver,box,3,5,6,944.1
tin,box,7,6,5,1535.1
platinum,box,1,3,9,569.43
silver,sphere,10,10,10,5492.55
silver,sphere,9,9,9,4004.07
gold,sphere,4,4,4,647.42
gold,box,10,7,6,8114.4
platinum,box,10,3,2,1265.4
bronze,sphere,3,3,3,131.33
bronze,box,7,7,4,1820.84
bronze,box,9,10,1,836.1
silver,sphere,3,3,3,148.3
tin,sphere,7,7,7,1312.83
platinum,cylinder,5,5,5,2070.51
platinum,box,8,1,4,674.88
silver,sphere,7,7,7,1883.95
bronze,sphere,10,10,10,4864.23
gold,box,9,7,10,12171.6
platinum,box,7,2,10,2952.6
gold,box,10,7,5,6762.0
silver,cylinder,2,8,8,1054.57
tin,sphere,10,10,10,3827.51
bronze,box,8,2,3,445.92
platinum,cylinder,4,10,10,6625.62
platinum,box,3,3,10,1898.1
platinum,cylinder,4,9,9,5366.75
tin,sphere,10,10,10,3827.51
silver,sphere,10,10,10,5492.55
bronze,box,10,9,8,6688.8
tin,box,4,7,3,614.04
tin,cylinder,3,3,3,155.01
platinum,sphere,8,8,8,5653.86
silver,box,7,9,9,5947.83
bronze,box,2,5,9,836.1
gold,box,6,2,9,2086.56
gold,sphere,6,6,6,2185.04
silver,box,2,2,1,41.96
platinum,box,9,9,3,5124.87
tin,box,9,7,3,1381.59
bronze,cylinder,10,1,1,72.96
tin,cylinder,6,6,6,1240.11
tin,box,8,3,6,1052.64
gold,cylinder,5,4,4,1213.91
silver,cylinder,9,2,2,296.6
bronze,box,5,8,6,2229.6
tin,sphere,8,8,8,1959.68
silver,box,9,5,2,944.1
tin,sphere,10,10,10,3827.51
tin,cylinder,6,10,10,3444.76
bronze,box,3,9,6,1504.98
platinum,cylinder,1,6,6,596.31
bronze,cylinder,7,1,1,51.07
bronze,sphere,7,7,7,1668.43
bronze,box,7,3,3,585.27
tin,box,7,7,1,358.19
gold,cylinder,3,1,1,45.52
bronze,box,4,6,2,445.92
tin,cylinder,9,7,7,2531.9
tin,sphere,8,8,8,1959.68
gold,box,7,10,10,13524.0
tin,cylinder,2,3,3,103.34
silver,box,5,9,5,2360.25
silver,cylinder,2,2,2,65.91
tin,box,9,4,3,789.48
tin,box,4,8,9,2105.28
bronze,cylinder,1,10,10,729.63
tin,box,8,2,6,701.76
silver,cylinder,9,2,2,296.6
platinum,sphere,8,8,8,5653.86
tin,box,4,7,1,204.68
bronze,box,5,5,1,232.25
bronze,sphere,4,4,4,311.31
tin,sphere,8,8,8,1959.68
bronze,sphere,5,5,5,608.03
silver,cylinder,8,9,9,5338.76
platinum,box,6,2,4,1012.32
bronze,cylinder,8,9,9,4728.03
silver,cylinder,9,4,4,1186.39
bronze,cylinder,10,2,2,291.85
silver,cylinder,4,3,3,296.6
gold,sphere,7,7,7,3469.76
gold,cylinder,7,3,3,955.96
silver,sphere,4,4,4,351.52
tin,sphere,1,1,1,3.83
gold,box,10,10,1,1932.0
bronze,cylinder,1,4,4,116.74
platinum,sphere,1,1,1,11.04
bronze,box,4,10,5,1858.0
bronze,sphere,10,10,10,4864.23
silver,box,1,3,8,251.76
platinum,box,9,1,8,1518.48
bronze,sphere,1,1,1,4.86
platinum,cylinder,2,8,8,2120.2
bronze,cylinder,8,3,3,525.34
platinum,sphere,9,9,9,8050.13
silver,sphere,8,8,8,2812.19
tin,box,9,10,3,1973.7
gold,box,4,9,3,2086.56
silver,cylinder,1,6,6,296.6
silver,box,7,6,7,3084.06
gold,sphere,2,2,2,80.93
tin,cylinder,6,3,3,310.03
silver,sphere,10,10,10,5492.55
silver,sphere,6,6,6,1186.39
silver,sphere,7,7,7,1883.95
gold,cylinder,1,2,2,60.7
bronze,cylinder,5,5,5,912.04
silver,sphere,8,8,8,2812.19
bronze,box,2,7,1,130.06
platinum,sphere,3,3,3,298.15
silver,sphere,5,5,5,686.57
silver,box,8,8,8,5370.88
bronze,sphere,6,6,6,1050.67
bronze,cylinder,4,4,4,466.97
tin,cylinder,4,7,7,1125.29
silver,box,9,1,3,283.23
gold,cylinder,10,1,1,151.74
platinum,cylinder,4,10,10,6625.62
tin,box,7,10,1,511.7
tin,box,10,4,7,2046.8
gold,cylinder,5,4,4,1213.91
tin,box,6,3,2,263.16
gold,sphere,8,8,8,5179.36
bronze,cylinder,6,9,9,3546.03
silver,sphere,6,6,6,1186.39
gold,box,1,3,1,57.96
bronze,cylinder,1,3,3,65.67
platinum,cylinder,8,2,2,530.05
tin,box,6,6,9,2368.44
bronze,cylinder,1,5,5,182.41
platinum,box,1,4,9,759.24
gold,box,7,5,2,1352.4
silver,sphere,6,6,6,1186.39
bronze,sphere,8,8,8,2490.49
gold,box,8,9,6,8346.24
tin,sphere,1,1,1,3.83
platinum,box,7,3,8,3543.12
bronze,sphere,1,1,1,4.86
tin,sphere,8,8,8,1959.68
gold,cylinder,7,5,5,2655.43
platinum,sphere,5,5,5,1380.34
silver,box,8,10,3,2517.6
silver,sphere,6,6,6,1186.39
tin,box,6,9,5,1973.7
gold,cylinder,5,6,6,2731.3
bronze,box,5,5,8,1858.0
gold,sphere,7,7,7,3469.76
bronze,box,4,10,2,743.2
tin,sphere,7,7,7,1312.83
tin,sphere,9,9,9,2790.25
silver,box,5,6,5,1573.5
tin,cylinder,7,5,5,1004.72
silver,cylinder,8,9,9,5338.76
gold,sphere,5,5,5,1264.49
tin,box,7,2,9,921.06
bronze,cylinder,10,10,10,7296.35
bronze,box,8,6,2,891.84
silver,sphere,5,5,5,686.57
silver,box,9,6,10,5664.6
platinum,cylinder,6,3,3,894.46
platinum,sphere,8,8,8,5653.86
bronze,cylinder,5,10,10,3648.17
tin,box,3,8,5,877.2
bronze,sphere,8,8,8,2490.49
platinum,sphere,1,1,1,11.04
gold,cylinder,6,8,8,5826.77
bronze,cylinder,2,7,7,715.04
silver,cylinder,7,2,2,230.69
tin,box,2,9,9,1184.22
silver,sphere,6,6,6,1186.39
tin,cylinder,6,6,6,1240.11
tin,cylinder,3,7,7,843.97
gold,box,2,2,4,309.12
gold,sphere,9,9,9,7374.51
gold,sphere,2,2,2,80.93
tin,sphere,6,6,6,826.74
platinum,sphere,2,2,2,88.34
gold,sphere,10,10,10,10115.93
silver,box,8,2,9,1510.56
tin,sphere,7,7,7,1312.83
bronze,sphere,10,10,10,4864.23
bronze,box,3,6,1,167.22
tin,box,10,3,2,438.6
platinum,cylinder,3,3,3,447.23
gold,cylinder,2,6,6,1092.52
silver,sphere,9,9,9,4004.07
platinum,sphere,1,1,1,11.04
bronze,cylinder,4,4,4,466.97
bronze,cylinder,7,3,3,459.67
tin,sphere,6,6,6,826.74
tin,box,2,2,6,175.44
gold,sphere,10,10,10,10115.93
tin,sphere,1,1,1,3.83
silver,sphere,8,8,8,2812.19
bronze,box,4,10,7,2601.2
gold,cylinder,10,9,9,12290.85
bronze,sphere,3,3,3,131.33
tin,box,5,6,5,1096.5
platinum,box,1,7,5,738.15
silver,sphere,2,2,2,43.94
bronze,cylinder,6,4,4,700.45
bronze,cylinder,7,10,10,5107.44
bronze,cylinder,7,7,7,2502.65
gold,box,3,4,7,1622.88
bronze,sphere,7,7,7,1668.43
gold,cylinder,4,1,1,60.7
silver,cylinder,5,9,9,3336.72
platinum,cylinder,2,1,1,33.13
bronze,box,5,8,6,2229.6
platinum,sphere,9,9,9,8050.13
bronze,box,8,8,2,1189.12
gold,cylinder,10,6,6,5462.6
tin,sphere,5,5,5,478.44
tin,sphere,7,7,7,1312.83
tin,box,9,8,8,4210.56
silver,box,6,8,1,503.52
gold,cylinder,9,4,4,2185.04
tin,cylinder,6,3,3,310.03
platinum,sphere,8,8,8,5653.86
silver,box,10,10,8,8392.0
gold,cylinder,7,8,8,6797.9
platinum,cylinder,1,3,3,149.08
gold,sphere,6,6,6,2185.04
platinum,box,10,6,4,5061.6
tin,cylinder,6,7,7,1687.93
bronze,cylinder,5,1,1,36.48
silver,sphere,5,5,5,686.57
bronze,box,6,8,5,2229.6
bronze,sphere,1,1,1,4.86
gold,box,5,1,6,579.6
tin,cylinder,1,3,3,51.67
gold,sphere,7,7,7,3469.76
platinum,sphere,4,4,4,706.73
silver,cylinder,7,3,3,519.05
gold,cylinder,9,6,6,4916.34
bronze,cylinder,8,3,3,525.34
tin,box,7,10,3,1535.1
silver,box,8,4,5,1678.4
tin,box,7,4,7,1432.76
gold,box,6,7,4,3245.76
bronze,cylinder,10,9,9,5910.04
gold,sphere,5,5,5,1264.49
tin,box,7,3,9,1381.59
platinum,cylinder,8,9,9,10733.5
gold,box,6,8,7,6491.52
bronze,cylinder,6,10,10,4377.81
platinum,cylinder,3,8,8,3180.3
bronze,cylinder,2,3,3,131.33
platinum,cylinder,5,8,8,5300.5
bronze,box,3,6,8,1337.76
platinum,cylinder,8,1,1,132.51
tin,cylinder,3,10,10,1722.38
platinum,sphere,1,1,1,11.04
bronze,sphere,10,10,10,4864.23
bronze,box,3,4,4,445.92
bronze,sphere,7,7,7,1668.43
platinum,box,3,2,3,379.62
platinum,cylinder,6,6,6,3577.83
silver,box,10,10,8,8392.0
bronze,cylinder,3,5,5,547.23
platinum,cylinder,4,9,9,5366.75
gold,cylinder,6,2,2,364.17
tin,sphere,9,9,9,2790.25
silver,box,10,8,10,8392.0
silver,sphere,5,5,5,686.57
bronze,box,7,3,4,780.36
tin,box,10,3,8,1754.4
silver,cylinder,9,4,4,1186.39
platinum,sphere,10,10,10,11042.7
tin,sphere,6,6,6,826.74
silver,sphere,10,10,10,5492.55
tin,cylinder,7,5,5,1004.72
tin,box,3,8,2,350.88
tin,box,8,6,9,3157.92
platinum,sphere,4,4,4,706.73
bronze,cylinder,1,5,5,182.41
platinum,cylinder,10,9,9,13416.88
tin,box,3,3,4,263.16
bronze,box,3,3,9,752.49
gold,box,8,10,2,3091.2
gold,box,4,4,8,2472.96
tin,cylinder,5,5,5,717.66
bronze,box,10,3,10,2787.0
platinum,box,5,5,5,2636.25
gold,cylinder,3,8,8,2913.39
gold,box,5,4,8,3091.2
bronze,box,6,5,10,2787.0
platinum,box,8,10,3,5061.6
tin,box,10,9,7,4605.3
bronze,cylinder,6,7,7,2145.13
silver,sphere,8,8,8,2812.19
silver,cylinder,4,4,4,527.28
platinum,cylinder,5,5,5,2070.51
bronze,sphere,2,2,2,38.91
bronze,cylinder,6,9,9,3546.03
platinum,sphere,4,4,4,706.73
silver,cylinder,3,6,6,889.79
platinum,box,5,1,4,421.8
bronze,sphere,8,8,8,2490.49
tin,box,1,4,7,204.68
bronze,sphere,2,2,2,38.91
tin,box,9,8,6,3157.92
tin,sphere,5,5,5,478.44
bronze,sphere,5,5,5,608.03
gold,cylinder,7,4,4,1699.48
tin,sphere,8,8,8,1959.68
platinum,sphere,2,2,2,88.34
silver,box,4,4,5,839.2
bronze,sphere,9,9,9,3546.03
gold,box,5,1,6,579.6
bronze,cylinder,1,4,4,116.74
tin,sphere,6,6,6,826.74
platinum,cylinder,10,1,1,165.64
gold,sphere,3,3,3,273.13
silver,sphere,5,5,5,686.57
gold,box,4,6,3,1391.04
tin,sphere,9,9,9,2790.25
silver,box,5,10,7,3671.5
gold,box,8,6,8,7418.88
platinum,box,7,1,10,1476.3
gold,cylinder,8,3,3,1092.52
bronze,cylinder,2,8,8,933.93
gold,sphere,1,1,1,10.12
bronze,cylinder,9,7,7,3217.69
tin,cylinder,9,3,3,465.04
gold,sphere,8,8,8,5179.36
bronze,box,7,3,2,390.18
platinum,cylinder,5,4,4,1325.12
bronze,cylinder,9,8,8,4202.7
tin,box,9,4,3,789.48
silver,box,8,9,5,3776.4
bronze,box,1,2,3,55.74
bronze,cylinder,1,6,6,262.67
bronze,sphere,8,8,8,2490.49
silver,box,10,10,4,4196.0
platinum,cylinder,3,9,9,4025.06
silver,cylinder,10,1,1,82.39
tin,box,1,2,6,87.72
tin,box,1,3,4,87.72
bronze,cylinder,5,4,4,583.71
bronze,cylinder,1,3,3,65.67
gold,cylinder,2,5,5,758.69
bronze,sphere,7,7,7,1668.43
tin,cylinder,8,1,1,45.93
gold,cylinder,7,4,4,1699.48
gold,sphere,9,9,9,7374.51
tin,cylinder,9,5,5,1291.78
gold,cylinder,5,7,7,3717.6
silver,box,3,1,9,283.23
platinum,cylinder,9,6,6,5366.75
silver,box,10,9,3,2832.3
silver,cylinder,6,9,9,4004.07
bronze,sphere,2,2,2,38.91
gold,cylinder,2,2,2,121.39
platinum,cylinder,2,7,7,1623.28
tin,cylinder,5,1,1,28.71
bronze,cylinder,9,1,1,65.67
bronze,sphere,2,2,2,38.91
bronze,sphere,7,7,7,1668.43
tin,cylinder,5,3,3,258.36
silver,cylinder,6,3,3,444.9
silver,box,4,5,2,419.6
gold,cylinder,10,3,3,1365.65
platinum,sphere,9,9,9,8050.13
platinum,sphere,6,6,6,2385.22
platinum,cylinder,6,6,6,3577.83
tin,box,3,6,10,1315.8
gold,box,10,9,8,13910.4
silver,cylinder,6,3,3,444.9
silver,box,9,8,8,6042.24
gold,box,6,5,8,4636.8
silver,cylinder,10,7,7,4037.03
silver,cylinder,6,4,4,790.93
bronze,sphere,10,10,10,4864.23
bronze,sphere,6,6,6,1050.67
tin,cylinder,7,4,4,643.02
bronze,cylinder,9,2,2,262.67
tin,sphere,9,9,9,2790.25
tin,box,7,6,10,3070.2
silver,sphere,3,3,3,148.3
platinum,sphere,3,3,3,298.15
platinum,sphere,5,5,5,1380.34
gold,sphere,2,2,2,80.93
platinum,cylinder,7,6,6,4174.14
platinum,cylinder,8,8,8,8480.79
bronze,cylinder,6,10,10,4377.81
silver,sphere,7,7,7,1883.95
platinum,box,4,9,10,7592.4
tin,cylinder,3,5,5,430.59
silver,cylinder,2,9,9,1334.69
bronze,cylinder,2,8,8,933.93
tin,cylinder,8,5,5,1148.25
tin,box,9,1,8,526.32
bronze,sphere,10,10,10,4864.23
tin,sphere,2,2,2,30.62
gold,sphere,3,3,3,273.13
bronze,box,1,2,6,111.48
silver,sphere,10,10,10,5492.55
tin,cylinder,5,1,1,28.71
gold,box,5,7,9,6085.8
platinum,sphere,9,9,9,8050.13
gold,box,1,8,7,1081.92
silver,box,4,1,7,293.72
bronze,sphere,6,6,6,1050.67
tin,sphere,1,1,1,3.83
silver,box,3,7,8,1762.32
silver,cylinder,5,3,3,370.75
tin,sphere,4,4,4,244.96
gold,sphere,4,4,4,647.42
gold,cylinder,3,9,9,3687.26
bronze,sphere,3,3,3,131.33
bronze,sphere,8,8,8,2490.49
bronze,cylinder,9,2,2,262.67
gold,cylinder,5,4,4,1213.91
silver,sphere,4,4,4,351.52
bronze,box,2,10,10,1858.0
tin,cylinder,1,6,6,206.69
platinum,cylinder,2,1,1,33.13
platinum,box,7,3,5,2214.45
gold,cylinder,4,2,2,242.78
tin,cylinder,2,2,2,45.93
bronze,cylinder,8,1,1,58.37
gold,sphere,4,4,4,647.42
platinum,box,6,2,9,2277.72
tin,cylinder,6,3,3,310.03
tin,cylinder,6,7,7,1687.93
tin,cylinder,10,5,5,1435.32
platinum,box,7,7,7,7233.87
silver,box,1,8,5,419.6
bronze,sphere,6,6,6,1050.67
silver,box,3,2,5,314.7
silver,sphere,9,9,9,4004.07
gold,box,5,1,1,96.6
bronze,cylinder,1,9,9,591.0
tin,sphere,4,4,4,244.96
tin,sphere,6,6,6,826.74
platinum,box,7,3,8,3543.12
gold,cylinder,3,6,6,1638.78
platinum,sphere,8,8,8,5653.86
platinum,sphere,5,5,5,1380.34
silver,sphere,3,3,3,148.3
tin,box,2,5,1,73.1
silver,box,9,2,4,755.28
silver,sphere,3,3,3,148.3
tin,sphere,3,3,3,103.34
platinum,box,3,9,4,2277.72
silver,cylinder,2,6,6,593.2
silver,box,3,8,5,1258.8
tin,box,1,9,3,197.37
gold,cylinder,2,8,8,1942.26
tin,sphere,5,5,5,478.44
bronze,cylinder,8,9,9,4728.03
tin,sphere,4,4,4,244.96
tin,sphere,7,7,7,1312.83
bronze,sphere,9,9,9,3546.03
gold,box,7,10,10,13524.0
platinum,box,7,4,2,1181.04
bronze,cylinder,2,3,3,131.33
tin,sphere,9,9,9,2790.25
bronze,cylinder,6,2,2,175.11
platinum,box,9,8,8,12147.84
platinum,box,8,1,7,1181.04
gold,cylinder,2,4,4,485.56
gold,sphere,1,1,1,10.12
tin,box,10,1,5,365.5
gold,sphere,5,5,5,1264.49
bronze,cylinder,10,3,3,656.67
platinum,cylinder,7,4,4,1855.17
gold,sphere,3,3,3,273.13
bronze,cylinder,1,1,1,7.3
platinum,box,9,3,7,3986.01
silver,sphere,5,5,5,686.57
tin,cylinder,10,10,10,5741.26
tin,cylinder,2,4,4,183.72
platinum,sphere,7,7,7,3787.65
gold,cylinder,1,3,3,136.57
silver,sphere,5,5,5,686.57
silver,box,3,1,3,94.41
platinum,sphere,3,3,3,298.15
platinum,cylinder,10,10,10,16564.05
platinum,cylinder,1,10,10,1656.4
bronze,box,3,4,8,891.84
gold,sphere,2,2,2,80.93
gold,sphere,5,5,5,1264.49
silver,box,2,7,4,587.44
silver,box,2,1,1,20.98
platinum,sphere,8,8,8,5653.86
tin,cylinder,8,10,10,4593.01
bronze,box,4,6,3,668.88
bronze,sphere,3,3,3,131.33
bronze,cylinder,7,9,9,4137.03
gold,sphere,2,2,2,80.93
platinum,cylinder,2,9,9,2683.38
gold,box,8,1,3,463.68
bronze,box,6,9,8,4013.28
platinum,sphere,7,7,7,3787.65
silver,box,7,5,9,3304.35
bronze,sphere,9,9,9,3546.03
platinum,box,7,7,7,7233.87
gold,sphere,10,10,10,10115.93
tin,cylinder,10,2,2,229.65
tin,sphere,6,6,6,826.74
gold,cylinder,1,4,4,242.78
tin,cylinder,1,1,1,5.74
tin,box,2,9,5,657.9
bronze,cylinder,1,9,9,591.0
platinum,box,6,10,10,12654.0
silver,cylinder,5,8,8,2636.42
gold,box,6,7,6,4868.64
tin,box,3,3,9,592.11
gold,box,3,5,8,2318.4
bronze,sphere,8,8,8,2490.49
tin,box,5,8,10,2924.0
gold,box,4,3,7,1622.88
bronze,box,9,10,7,5852.7
silver,box,4,4,6,1007.04
silver,sphere,6,6,6,1186.39
gold,cylinder,8,6,6,4370.08
platinum,cylinder,3,10,10,4969.21
tin,box,10,4,2,584.8
gold,sphere,5,5,5,1264.49
silver,box,3,4,9,1132.92
silver,cylinder,2,10,10,1647.77
platinum,box,3,2,2,253.08
