surgery,age,hospital_num,rectal_temperature,pulse,respiratory_rate,temperature_extremities,peripheral_pulse,mucous_membranes,capillary_refill_time,pain,peristalsis,abdominal_distension,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_ph,rectal_examination,abdomen,packed_cell_volume,total_protein,abdominocentesis_appearance,abdomcentesis_total_protein,outcome,surgical_lesion,lesion_type_1,lesion_type_2,lesion_type_3,cp_data
1,1,528178,37.7,66,12,1,1,3,1,3,3,2,2,?,?,4,4,31.5,6.2,2,1.6,1,1,2208,0,0,1
1,1,535392,38.8,50,14,1,1,1,1,3,1,1,1,1,?,3,5,38,58,?,?,1,1,3111,0,0,2
2,1,528931,38.4,54,24,1,1,1,1,1,3,1,2,1,?,3,2,49,7.2,1,8,1,2,3111,0,0,1
1,1,528503,39.2,120,20,4,3,5,2,2,3,3,1,3,?,?,4,60,8.8,3,?,2,1,2205,0,0,2
1,9,5289419,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,45,6.5,2,?,1,1,9000,0,0,1
1,1,535196,37.3,90,40,3,?,6,2,5,4,3,2,2,?,1,5,65,50,3,2,3,1,3205,0,0,2
1,9,534597,38.5,120,70,?,?,?,?,?,1,?,2,?,?,1,?,35,54,1,1,1,1,4205,3111,2209,2
1,1,534280,38.5,104,40,3,3,?,1,4,3,4,?,?,?,?,?,?,?,?,?,1,1,2124,0,0,2
2,1,530028,39.5,92,28,3,3,6,1,5,4,1,?,3,?,4,?,72,6.4,?,3.6,2,2,3300,0,0,2
1,1,5262543,38.5,30,18,?,?,?,?,?,?,?,?,?,?,?,?,40,7.7,?,?,1,1,2113,0,0,2
1,1,530526,38.3,72,30,4,3,3,2,3,3,3,2,1,?,3,5,43,7,2,3.9,1,1,3113,0,0,1
2,1,528729,37.5,48,30,4,1,3,1,?,2,1,1,1,?,1,1,48,8.6,?,?,1,2,400,0,0,2
1,1,528469,38.1,52,24,1,1,5,1,4,3,1,2,3,7,1,?,54,7.5,2,2.6,2,1,2206,0,0,1
2,1,528179,38.2,42,26,1,1,1,1,3,1,2,?,?,?,1,?,36,6.9,?,?,1,2,3111,0,0,2
2,1,533750,37.9,54,42,2,1,5,1,3,1,1,?,1,?,?,2,47,54,3,1,1,2,0,0,0,2
2,1,528702,36.1,88,?,3,3,3,1,3,3,2,2,3,?,?,4,45,7,3,4.8,3,1,2209,0,0,1
1,1,534183,38.1,70,22,?,1,?,1,5,3,?,?,?,?,?,5,36,65,?,?,3,1,3205,0,0,2
1,1,529160,38,90,30,4,3,4,2,5,4,4,?,?,?,4,5,55,6.1,?,?,2,1,3205,0,0,2
1,1,529045,38.2,52,16,1,1,2,1,1,2,1,1,1,?,1,?,43,8.1,?,?,1,2,0,0,0,1
1,1,530354,?,36,32,1,1,4,1,5,3,3,2,3,4,?,4,41,5.9,?,?,2,1,2205,0,0,2
1,1,5281091,38.4,92,20,1,?,?,2,?,3,3,?,?,?,1,?,?,?,?,?,1,1,2208,0,0,1
1,9,5291409,38.2,124,88,1,3,2,1,2,3,4,?,?,?,?,?,47,8,1,?,1,1,9400,0,0,1
2,1,528904,?,96,?,3,3,3,2,5,4,4,?,1,?,4,5,60,?,?,?,2,1,41110,0,0,2
1,1,530366,37.6,68,32,3,?,3,1,4,2,4,2,2,6.5,1,5,47,7.2,1,?,1,1,3209,0,0,2
1,1,530170,38.1,88,24,3,3,4,1,5,4,3,2,1,?,3,4,41,4.6,?,?,2,1,2209,0,0,2
1,1,527709,38,108,60,2,3,4,1,4,3,3,2,?,?,3,4,?,?,3,?,1,1,2205,0,0,2
2,1,528169,38.2,48,?,2,?,1,2,3,3,1,2,1,?,?,2,34,6.6,?,?,1,2,3111,0,0,2
1,1,535043,39.3,100,51,4,4,6,1,2,4,1,1,3,2,?,4,66,13,3,2,3,1,2113,0,0,2
2,1,527940,36.6,42,18,3,3,2,1,1,4,1,1,1,?,?,5,52,7.1,?,?,2,1,5111,0,0,2
1,9,5291719,38.8,124,36,3,1,2,1,2,3,4,1,1,?,4,4,50,7.6,3,?,2,1,2208,0,0,1
2,1,530561,?,112,24,3,3,4,2,5,4,2,?,?,?,4,?,40,5.3,3,2.6,1,2,400,0,0,1
1,1,533738,?,80,?,3,3,3,1,4,4,4,?,?,?,4,5,43,70,?,?,1,1,3111,0,0,2
1,9,5294539,38.8,184,84,1,?,1,1,4,1,3,?,?,?,2,?,33,3.3,?,?,2,1,7111,0,0,2
1,1,533871,37.5,72,?,2,1,1,1,2,1,1,1,1,?,1,?,35,65,2,2,3,1,7209,0,0,2
1,1,529812,38.7,96,28,3,3,4,1,?,4,?,?,3,7.5,?,?,64,9,?,?,2,1,2205,0,0,1
2,1,534719,37.5,52,12,1,1,1,1,2,3,2,2,1,?,3,5,36,61,1,1,1,2,0,0,0,2
1,1,527734,40.8,72,42,3,3,1,1,2,3,1,2,1,?,?,?,54,7.4,3,?,2,1,11400,0,0,1
2,1,534933,38,40,25,?,1,1,1,4,3,2,1,1,?,4,?,37,69,?,?,1,2,0,0,0,2
2,1,529296,38.4,48,16,2,1,1,1,1,?,2,2,1,?,?,2,39,6.5,?,?,1,2,3111,0,0,1
2,9,5305629,38.6,88,28,?,?,?,?,?,?,?,?,?,?,?,?,35,5.9,?,?,1,2,0,0,0,2
1,1,528743,37.1,75,36,?,?,3,2,4,4,2,2,3,5,4,4,48,7.4,3,3.2,2,1,12208,0,0,1
1,1,530478,38.3,44,21,3,1,2,1,3,3,3,2,1,?,1,5,44,6.5,2,4.4,1,1,2209,0,0,1
2,1,528590,?,56,68,3,1,1,1,3,3,1,2,1,?,1,?,40,6,?,?,3,1,5206,0,0,2
2,1,529865,38.6,68,20,2,1,3,1,3,3,2,1,1,?,1,5,38,6.5,1,?,1,2,5124,0,0,1
2,1,527829,38.3,54,18,3,1,2,1,2,3,2,?,3,5.4,?,4,44,7.2,3,?,1,2,2124,0,0,1
1,1,534403,38.2,42,20,?,?,1,1,?,3,?,?,?,?,3,?,47,60,?,?,1,2,0,0,0,2
1,1,527883,39.3,64,90,2,3,1,1,?,3,1,1,2,6.5,1,5,39,6.7,?,?,1,1,31110,0,0,2
1,1,528570,37.5,60,50,3,3,1,1,3,3,2,2,2,3.5,3,4,35,6.5,?,?,2,1,2209,0,0,2
1,1,534626,37.7,80,?,3,3,6,1,5,4,1,2,3,?,3,1,50,55,3,2,1,1,4206,0,0,2
1,1,529796,?,100,30,3,3,4,2,5,4,4,3,3,?,4,4,52,6.6,?,?,1,1,2124,0,0,2
1,1,528638,37.7,120,28,3,3,3,1,5,3,3,1,1,?,?,?,65,7,3,?,2,1,4205,0,0,1
1,1,534624,?,76,?,?,3,?,?,?,4,4,?,?,?,?,5,?,?,?,?,3,1,11124,0,0,2
1,9,5297159,38.8,150,50,1,3,6,2,5,3,2,1,1,?,?,?,50,6.2,?,?,2,1,4207,0,0,2
1,1,534787,38,36,16,3,1,1,1,4,2,2,3,3,2,3,?,37,75,2,1,3,2,3111,0,0,2
2,1,528620,36.9,50,40,2,3,3,1,1,3,2,3,1,7,?,?,37.5,6.5,?,?,1,2,3111,0,0,2
2,1,528019,37.8,40,16,1,1,1,1,1,1,1,?,?,?,1,1,37,6.8,?,?,1,2,0,0,0,2
2,1,529172,38.2,56,40,4,3,1,1,2,4,3,2,2,7.5,?,?,47,7.2,1,2.5,1,2,8300,0,0,1
1,1,534644,38.6,48,12,?,?,1,?,1,1,?,?,?,?,?,?,36,67,?,?,1,2,0,0,0,2
2,1,530624,40,78,?,3,3,5,1,2,3,1,1,1,?,4,1,66,6.5,?,?,2,1,8400,0,0,1
1,1,527544,?,70,16,3,4,5,2,2,3,2,2,1,?,4,5,60,7.5,?,?,2,1,1400,0,0,2
1,1,527758,38.2,72,18,?,?,?,?,?,?,?,?,?,?,?,?,35,6.4,?,?,1,1,3124,0,0,2
2,1,530439,38.5,54,?,1,1,1,1,3,1,1,2,1,?,1,?,40,6.8,2,7,1,2,0,0,0,1
1,1,5283431,38.5,66,24,1,1,1,1,3,3,1,2,1,?,4,5,40,6.7,1,?,1,1,31110,0,0,1
2,1,5275212,37.8,82,12,3,1,1,2,4,?,3,1,3,?,?,?,50,7,?,?,3,1,2205,0,0,2
2,9,5305129,39.5,84,30,?,?,?,1,?,?,?,?,?,?,?,?,28,5,?,?,1,2,0,0,0,2
1,1,529428,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,1,2124,0,0,2
1,1,529126,38,50,36,?,1,1,1,3,2,2,?,?,?,3,?,39,6.6,1,5.3,1,1,8400,0,0,1
2,1,535054,38.6,45,16,2,1,2,1,1,1,?,?,?,?,1,1,43,58,?,?,1,2,0,0,0,2
1,1,528890,38.9,80,44,3,3,3,1,2,3,3,2,2,7,3,1,54,6.5,3,?,2,1,7111,0,0,2
1,1,530034,37,66,20,1,3,2,1,4,3,3,1,?,?,1,5,35,6.9,2,?,2,1,31110,0,0,2
1,1,534004,?,78,24,3,3,3,1,?,3,?,2,1,?,?,4,43,62,?,2,3,2,2209,0,0,2
2,1,533902,38.5,40,16,1,1,1,1,2,1,1,?,?,?,3,2,37,67,?,?,1,2,0,0,0,2
1,1,533886,?,120,70,4,?,4,2,2,4,?,?,?,?,?,5,55,65,?,?,3,2,3205,0,0,2
2,1,527702,37.2,72,24,3,2,4,2,4,3,3,3,1,?,4,4,44,?,3,3.3,3,1,2208,0,0,1
1,1,529386,37.5,72,30,4,3,4,1,4,4,3,2,1,?,3,5,60,6.8,?,?,2,1,3205,0,0,2
1,1,530612,36.5,100,24,3,3,3,1,3,3,3,3,1,?,4,4,50,6,3,3.4,1,1,2208,0,0,1
1,1,534618,37.2,40,20,?,?,?,?,?,?,?,?,?,?,4,1,36,62,1,1,3,2,6112,0,0,2
